qw,qx,qy,qz,yaw,pitch,roll
0.999888,-0.000368,-0.014518,-0.001859,179.787537,-1.663744,-0.039069
0.999562,-0.001893,-0.029065,-0.004369,179.505081,-3.331917,-0.202627
0.999114,-0.003295,-0.041189,-0.007443,179.160553,-4.723865,-0.343303
0.9987,-0.004713,-0.048441,-0.014893,178.313614,-5.560437,-0.458869
0.998513,-0.004878,-0.048633,-0.023978,177.269638,-5.586869,-0.426576
0.998273,-0.007987,-0.047374,-0.033683,176.170029,-5.458363,-0.734194
0.997803,-0.005904,-0.048482,-0.044677,174.893463,-5.58253,-0.428852
0.997419,-0.007246,-0.046751,-0.053925,173.836258,-5.396153,-0.541658
0.996748,-0.004961,-0.047901,-0.064536,172.601288,-5.516376,-0.213368
0.996293,-0.006634,-0.046513,-0.071999,171.750885,-5.372898,-0.375313
0.995658,-0.001523,-0.047088,-0.080237,170.773193,-5.394417,0.260295
0.994811,-0.001613,-0.0468,-0.090279,169.615158,-5.359532,0.301616
0.994051,-0.004744,-0.046302,-0.098428,168.691284,-5.33544,-0.018265
0.993208,-0.000124,-0.046076,-0.106804,167.699432,-5.25297,0.552082
0.991877,-0.000636,-0.047789,-0.117845,166.421646,-5.44859,0.575617
0.990686,-0.004728,-0.044606,-0.128535,165.209824,-5.140425,0.120764
0.988334,-0.003509,-0.048219,-0.144395,163.356628,-5.527707,0.402292
0.986153,-0.003181,-0.051541,-0.157563,161.81514,-5.892241,0.574142
0.985435,-0.00595,-0.05854,-0.159522,161.586075,-6.734779,0.401014
0.984352,-0.004625,-0.055004,-0.167321,160.676712,-6.3057,0.536221
0.982827,-0.003901,-0.052912,-0.176715,159.580521,-6.049413,0.635728
0.980957,-0.005793,-0.051381,-0.187193,158.369415,-5.910393,0.453428
0.97938,-0.008741,-0.047659,-0.196107,157.349976,-5.55379,0.09047
0.977695,-0.047411,-0.040121,-0.200615,157.024643,-5.593788,-4.414812
0.975563,-0.068037,-0.035498,-0.205861,156.501724,-5.582199,-6.816898
0.973725,-0.064828,-0.032087,-0.215914,155.289368,-5.191413,-6.480031
0.971229,-0.062153,-0.035568,-0.227109,153.971924,-5.584931,-6.031388
0.968776,-0.051009,-0.039206,-0.23943,152.468048,-5.761586,-4.615241
0.958083,-0.030161,-0.046601,-0.281046,147.400009,-6.099161,-1.821152
0.924803,0.02679,-0.129256,-0.356798,136.873962,-12.706412,8.357392
0.888907,0.077549,-0.214052,-0.397497,128.681381,-18.595991,18.965961
0.827084,0.154115,-0.311043,-0.442069,116.680748,-22.225872,34.922916
0.725246,0.23528,-0.409513,-0.500951,100.035866,-20.993818,53.610638
0.59737,0.33344,-0.456903,-0.568505,86.283173,-9.599188,68.578232
0.460969,0.440165,-0.473934,-0.60757,79.139671,5.619678,80.556641
0.358836,0.512887,-0.474505,-0.618887,76.915993,17.115534,88.58596
0.277299,0.561164,-0.46787,-0.623931,76.050385,26.153364,94.320045
0.207773,0.595206,-0.445448,-0.635711,75.523697,34.865627,97.379829
0.101261,0.654477,-0.462089,-0.589806,80.377769,42.722321,112.719589
-0.019725,0.696233,-0.4459,-0.56217,87.15786,53.167709,127.766693
-0.036744,0.713579,-0.368032,-0.594978,92.51004,61.184166,126.88501
