Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
2739,9.69,0.88,0.31,0.03,-0.04,0.04,-23.82,-31.66,2.70
2875,9.68,1.07,0.66,-0.00,-0.01,0.00,-23.69,-31.29,3.19
3012,9.77,1.01,0.51,-0.01,-0.04,-0.01,-23.94,-31.31,2.28
3149,9.67,0.72,0.55,0.02,-0.02,0.01,-24.70,-32.02,2.81
3286,9.67,0.80,0.56,0.04,-0.02,-0.01,-24.39,-32.11,3.05
3422,9.64,0.79,0.58,0.02,-0.04,-0.01,-23.84,-31.45,3.05
3559,9.71,0.95,0.61,0.02,-0.06,0.01,-24.33,-31.51,2.48
3696,9.70,0.95,0.61,0.02,-0.04,0.00,-24.25,-31.64,2.75
3839,9.74,0.96,0.77,0.01,-0.03,0.00,-23.78,-32.21,1.97
3976,9.72,0.92,0.71,-0.01,-0.01,0.00,-24.38,-31.53,2.92
4114,9.67,0.92,0.59,0.01,-0.04,0.01,-24.04,-31.98,1.87
4250,9.69,0.85,0.71,0.02,-0.04,-0.00,-24.07,-31.32,2.35
4387,9.65,0.80,0.60,0.03,-0.05,0.01,-24.31,-31.80,2.66
4524,9.70,0.85,0.69,0.02,-0.05,-0.00,-23.91,-31.79,2.22
4660,9.74,0.92,0.80,0.01,-0.04,0.01,-23.38,-31.73,2.19
4795,9.71,0.80,0.80,0.00,-0.03,0.00,-24.22,-31.86,1.99
4931,9.68,0.80,0.75,0.01,-0.05,0.00,-24.20,-31.31,1.58
5067,9.70,0.76,0.81,0.01,-0.05,-0.01,-24.20,-31.57,2.10
5199,9.70,0.77,0.62,-0.01,-0.05,-0.02,-24.41,-31.31,1.96
5334,9.66,0.81,0.54,0.02,-0.06,0.01,-23.68,-31.63,1.81
5470,9.69,0.86,0.75,0.02,-0.05,-0.00,-24.20,-31.98,1.90
5606,9.75,0.95,0.75,0.02,-0.05,-0.01,-23.85,-31.22,1.78
5742,9.74,0.91,0.72,0.02,-0.03,0.00,-24.00,-31.32,3.08
5877,9.69,0.82,0.65,0.02,-0.04,0.00,-24.09,-30.97,1.97
6013,9.64,0.73,0.68,0.02,-0.06,0.00,-24.00,-31.22,2.03
6149,9.78,0.81,0.77,0.04,-0.09,-0.01,-24.22,-30.36,1.07
6285,9.71,0.78,0.84,0.03,-0.03,0.00,-24.67,-31.47,1.71
6426,9.69,0.96,0.68,0.00,0.01,-0.01,-24.92,-31.75,1.36
6562,9.59,0.72,0.57,0.02,-0.04,-0.02,-23.91,-31.91,0.20
6698,9.81,0.74,0.75,0.01,-0.03,-0.01,-24.32,-31.35,1.45
6833,9.66,0.80,0.81,0.01,-0.04,0.04,-23.41,-31.37,1.37
6969,9.70,0.84,0.65,-0.01,-0.05,-0.01,-24.09,-30.58,1.21
7105,9.68,0.69,0.87,0.02,-0.05,0.01,-23.94,-31.51,1.45
7241,9.72,0.81,0.83,0.02,-0.03,-0.01,-23.74,-31.10,0.69
7376,9.70,0.85,0.88,0.00,-0.04,-0.01,-24.06,-31.70,1.51
7512,9.71,0.86,0.88,0.00,-0.04,-0.01,-23.90,-31.09,1.29
7653,9.74,0.86,0.87,-0.00,-0.04,-0.01,-23.43,-31.63,2.06
7789,9.68,0.78,0.78,0.01,-0.04,-0.01,-23.84,-31.75,2.44
7924,9.68,0.76,0.76,0.03,-0.05,-0.00,-23.34,-32.04,1.07
8060,9.74,0.90,0.86,0.03,-0.04,-0.02,-23.30,-32.18,0.88
8196,9.73,0.80,0.94,-0.01,-0.03,0.01,-22.99,-31.70,1.10
8332,9.71,0.81,0.80,0.00,-0.04,0.01,-23.66,-31.58,0.77
8467,9.68,0.72,0.75,0.03,-0.07,0.01,-24.20,-31.44,0.42
8603,9.71,0.78,0.90,0.01,-0.03,-0.00,-23.62,-31.26,1.52
8739,9.64,0.71,0.73,0.01,-0.03,-0.01,-23.74,-31.20,1.39
8879,9.66,0.76,0.81,0.02,-0.06,-0.00,-23.75,-30.84,1.65
9015,9.68,0.80,0.87,0.02,-0.06,-0.00,-23.85,-31.34,0.15
9151,9.71,0.80,0.87,0.02,-0.06,-0.01,-23.40,-31.34,1.29
9287,9.71,0.78,0.85,0.02,-0.03,-0.00,-24.09,-30.65,0.32
9422,9.73,0.83,0.93,0.01,-0.04,-0.01,-23.62,-31.25,0.51
9558,9.75,0.79,0.93,0.01,-0.03,-0.00,-23.38,-31.04,0.42
9694,9.76,0.82,0.87,0.01,-0.04,-0.00,-23.88,-31.32,1.27
9830,9.66,0.67,0.85,0.01,-0.04,0.01,-24.36,-31.13,0.77
9965,9.69,0.77,0.90,0.01,-0.03,-0.01,-25.08,-31.34,-0.41
10106,9.72,0.85,0.97,0.00,-0.04,-0.00,-24.54,-31.12,0.56
10242,9.68,0.82,0.97,0.01,-0.03,-0.01,-24.58,-31.54,0.51
10377,9.66,0.67,0.70,0.02,-0.05,-0.03,-24.73,-31.29,0.61
10513,9.74,0.71,0.90,0.02,-0.06,0.00,-24.41,-31.04,0.70
10649,9.75,0.84,0.95,-0.00,-0.03,-0.01,-24.09,-31.07,1.10
10785,9.64,0.73,0.91,0.02,-0.04,-0.02,-24.86,-30.46,0.53
10920,9.72,0.86,0.83,0.02,-0.05,-0.03,-23.98,-31.76,0.39
11056,9.71,0.92,0.85,0.03,-0.09,0.00,-24.50,-30.85,0.64
11197,9.60,0.73,0.95,0.02,-0.02,-0.00,-25.14,-30.90,0.44
11333,9.73,0.97,1.00,0.01,-0.03,-0.02,-24.74,-30.80,0.50
11468,9.72,0.89,0.93,0.01,-0.07,-0.00,-24.95,-31.50,0.86
11604,9.63,0.69,0.89,0.01,-0.05,0.00,-24.42,-30.56,1.07
11740,9.66,0.94,0.69,0.03,-0.08,-0.01,-24.79,-30.69,0.58
11875,9.52,0.64,0.67,0.04,-0.06,0.01,-24.67,-30.66,1.14
