Timestamp,qw,qx,qy,qz,heading,pitch,roll
199,0.999944,-0.003858,0.009390,-0.000454,179.943802,1.075872,-0.442684
319,0.999797,-0.008262,0.018010,-0.002087,179.743652,2.061807,-0.951532
439,0.999577,-0.011277,0.026482,-0.002816,179.642731,3.031099,-1.302203
559,0.999290,-0.013873,0.034711,-0.003794,179.509216,3.971914,-1.607723
679,0.998972,-0.019364,0.040616,-0.004614,179.379654,4.644272,-2.246073
799,0.998503,-0.024363,0.048717,-0.004087,179.393524,5.571595,-2.824871
919,0.997856,-0.026570,0.059452,-0.005768,179.153458,6.796441,-3.100744
1041,0.997100,-0.030868,0.069019,-0.008192,178.808472,7.881912,-3.628375
1161,0.996358,-0.036663,0.076244,-0.010196,178.498123,8.695603,-4.328825
1281,0.995528,-0.042334,0.084026,-0.007896,178.672989,9.592025,-4.981300
1401,0.994603,-0.046129,0.092631,-0.007000,178.690140,10.580444,-5.432164
1521,0.993559,-0.049719,0.101476,-0.007896,178.491974,11.587207,-5.882462
1666,0.992431,-0.055327,0.109348,-0.007318,178.437393,12.487814,-6.552652
1791,0.991184,-0.059808,0.117882,-0.008488,178.177673,13.454336,-7.121002
1912,0.989986,-0.064837,0.125063,-0.008661,178.027039,14.270331,-7.741197
2032,0.988605,-0.069033,0.133466,-0.008494,177.908066,15.231385,-8.268464
2152,0.987309,-0.073579,0.140464,-0.008335,177.786057,16.029741,-8.835862
2272,0.985901,-0.077557,0.147946,-0.009418,177.513290,16.873423,-9.364766
2392,0.985053,-0.079313,0.152225,0.014101,180.218414,17.585924,-9.172739
2512,0.983647,-0.076073,0.157585,0.042550,183.610245,18.450823,-8.258012
2632,0.981353,-0.089092,0.170294,-0.000147,178.137558,19.524509,-10.695114
2754,0.978329,-0.094577,0.176112,0.053885,184.424255,20.780218,-10.231739
2874,0.977040,-0.102940,0.185576,0.018692,179.896515,21.498552,-12.048461
2994,0.975667,-0.095884,0.190931,0.049162,183.680069,22.457464,-10.494573
3114,0.972488,-0.104997,0.202015,0.049229,183.340775,23.781702,-11.620679
3234,0.969344,-0.109396,0.210201,0.064897,185.050568,24.942762,-11.760018
3354,0.966581,-0.107963,0.219579,0.076432,186.419189,26.166727,-11.253069
3474,0.963992,-0.107054,0.229219,0.081911,187.039154,27.352829,-10.958693
3596,0.963467,-0.104777,0.233148,0.079915,186.824219,27.775385,-10.723785
3716,0.958342,-0.115012,0.240105,0.103414,189.404022,28.946493,-11.254197
3836,0.955853,-0.113502,0.243921,0.118133,191.299973,29.546005,-10.554625
3956,0.956477,-0.112668,0.251615,0.095599,188.393951,30.190052,-11.168326
4076,0.955077,-0.110170,0.258210,0.094920,188.340668,30.939730,-10.847898
4196,0.955185,-0.109710,0.263950,0.076862,185.980087,31.406507,-11.421364
4316,0.951443,-0.118193,0.272793,0.079758,185.943344,32.544056,-12.426128
4438,0.946253,-0.128703,0.278601,0.102045,188.382309,33.608929,-12.955094
4558,0.942792,-0.125429,0.289142,0.108629,189.285202,34.921318,-12.229663
4678,0.944046,-0.125680,0.294150,0.080307,185.451538,35.139481,-13.438737
4798,0.940932,-0.124860,0.303277,0.084087,185.874390,36.279510,-13.191525
4918,0.939133,-0.125388,0.305446,0.094872,187.278946,36.691158,-12.792883
5038,0.936756,-0.125506,0.310088,0.102824,188.304352,37.355854,-12.450147
5158,0.931767,-0.126811,0.318471,0.119571,190.471863,38.594666,-11.824533
5279,0.928529,-0.128749,0.327633,0.117926,190.077896,39.702286,-12.141708
5399,0.927360,-0.133849,0.333685,0.103606,187.747559,40.287785,-13.580029
5519,0.926595,-0.137274,0.338130,0.090764,185.701859,40.657623,-14.739875
5639,0.924539,-0.134560,0.342395,0.099391,187.005035,41.289474,-13.919399
5759,0.918322,-0.130986,0.349644,0.131406,191.733932,42.578304,-11.649306
5879,0.920162,-0.151697,0.349210,0.091288,184.796890,42.094486,-16.876053
5999,0.912756,-0.134269,0.355947,0.148802,194.072693,43.609806,-11.082468
6120,0.917542,-0.160546,0.352988,0.087936,183.737030,42.531677,-18.394428
6240,0.914638,-0.153423,0.357089,0.111254,187.431519,43.420876,-16.081867
6360,0.911031,-0.237289,0.307725,0.137889,187.754196,38.765442,-26.466028
6480,0.881896,-0.372836,0.221733,0.184604,190.883713,31.920719,-42.712269
6600,0.806720,-0.532431,0.109487,0.231786,196.506088,25.053865,-63.156868
6720,0.696939,-0.660880,0.037838,0.275816,201.593384,24.664448,-82.182182
6840,0.608522,-0.735340,0.001892,0.298269,203.662766,26.165134,-95.207161
6962,0.592549,-0.743660,-0.005157,0.309548,204.859818,27.018944,-96.841057
7082,0.592980,-0.740128,-0.004390,0.317109,205.590408,27.658178,-96.197304
7202,0.611391,-0.721540,0.011589,0.324711,205.739838,28.865520,-92.716797
7322,0.730026,-0.589133,0.123807,0.323492,203.243286,34.189068,-70.568420
7442,0.789220,-0.490097,0.202607,0.309641,201.780838,38.558399,-55.978832
7562,0.833731,-0.370561,0.291712,0.287181,201.557541,44.367279,-39.048302
7704,0.857605,-0.272864,0.340547,0.272171,204.383545,47.108341,-24.537090
7829,0.878094,-0.168071,0.382057,0.233938,205.257126,48.555820,-10.129497
7949,0.878767,-0.053518,0.443874,0.166949,204.081604,52.938896,5.154952
8069,0.856120,0.076133,0.502212,0.095061,206.612076,57.718315,25.015343
8189,0.805257,0.231810,0.545587,0.012309,214.002045,60.805485,52.460606
8309,0.782539,0.284698,0.552911,-0.029314,214.807236,61.889587,61.270786
8429,0.766918,0.305707,0.561223,-0.058303,214.931870,63.698128,65.585396
8551,0.760587,0.302841,0.570980,-0.061383,216.560104,64.922989,67.155594
8671,0.771958,0.260287,0.578665,-0.038334,216.480042,65.974777,61.414574
8791,0.794393,0.183703,0.578931,0.004787,213.756439,66.641060,48.601517
8911,0.837451,-0.007818,0.538620,0.092167,199.917709,64.632233,11.606277
9031,0.843397,-0.167486,0.482339,0.167241,194.131012,60.415455,-14.208771
9151,0.830653,-0.264190,0.441197,0.213439,193.158417,57.751328,-28.007204
9271,0.818164,-0.301645,0.428345,0.236916,193.938843,57.548130,-32.794426
9393,0.816920,-0.296209,0.434445,0.236960,194.271423,58.232723,-31.882629
9513,0.812428,-0.300736,0.438281,0.239623,194.089417,58.900398,-32.642632
9633,0.806210,-0.321793,0.437752,0.234179,190.705704,58.931885,-37.456726
9753,0.799909,-0.333219,0.442628,0.230615,188.384415,59.520920,-40.429699
9873,0.788989,-0.335078,0.447983,0.254011,192.092438,61.298626,-38.837494
9993,0.772502,-0.339350,0.453534,0.287020,197.744720,63.574295,-36.378311
10113,0.781997,-0.361135,0.436943,0.259105,190.495789,60.519089,-43.440517
10235,0.765738,-0.345624,0.454760,0.295592,198.576019,64.260841,-36.855301
10355,0.759537,-0.345662,0.458072,0.306240,200.713913,65.169739,-35.613766
10475,0.756671,-0.353341,0.456283,0.307240,199.847382,65.180252,-37.297329
10595,0.750618,-0.357785,0.455807,0.317480,201.451385,65.706963,-37.021011
10715,0.742551,-0.358809,0.456310,0.334136,205.100998,66.555916,-34.953766
10835,0.737435,-0.356771,0.453317,0.351282,209.629379,66.814934,-31.843033
10955,0.724923,-0.355704,0.460087,0.369151,214.359512,68.383842,-28.546307
11076,0.721107,-0.361889,0.460657,0.369903,213.529037,68.763466,-30.004202
11196,0.717762,-0.374927,0.459094,0.365339,210.047134,68.905876,-34.292896
11316,0.713566,-0.385390,0.456437,0.365998,208.395432,68.987236,-37.021183
11442,0.710382,-0.394163,0.453219,0.366849,207.121750,68.925323,-39.247280
11562,0.703585,-0.395354,0.453710,0.377892,209.750610,69.594543,-37.745422
11682,0.697874,-0.401527,0.449993,0.386323,210.953400,69.770508,-37.973305
11802,0.686049,-0.401930,0.454342,0.401687,215.110825,71.138580,-35.231052
11924,0.688073,-0.415432,0.447717,0.391807,209.788132,70.332565,-41.015232
12044,0.679573,-0.417959,0.447540,0.403968,212.649094,71.077217,-39.550556
12164,0.668555,-0.407979,0.452075,0.426857,221.667694,72.320724,-31.700380
12284,0.661955,-0.413107,0.451498,0.432781,222.563232,72.806557,-31.882538
