Timestamp,qw,qx,qy,qz,yaw,pitch,roll
372,0.999865,0.011279,-0.010424,-0.004970,179.416901,-1.187957,1.298657
493,0.999613,0.016444,-0.021624,-0.005188,179.364349,-2.467972,1.898543
614,0.999080,0.025541,-0.033689,-0.006640,179.139206,-3.840333,2.957646
735,0.998698,0.030344,-0.039777,-0.009551,178.764709,-4.523630,3.529344
857,0.997942,0.037676,-0.051668,-0.003781,179.341080,-5.902632,4.358169
979,0.996454,0.051834,-0.066211,-0.000629,179.530762,-7.578690,5.986583
1101,0.994832,0.068860,-0.073985,0.009206,180.470932,-8.538513,7.883876
1226,0.992588,0.089643,-0.080157,0.017331,181.163376,-9.336563,10.225999
1348,0.991090,0.098084,-0.089397,0.010918,180.239029,-10.331495,11.282087
1470,0.989907,0.108380,-0.091158,0.004407,179.357101,-10.453160,12.554996
1592,0.989840,0.110086,-0.089934,0.001341,179.001526,-10.272838,12.781846
1714,0.990611,0.102680,-0.089868,0.007835,179.829178,-10.349831,11.850904
1836,0.990641,0.103056,-0.088685,0.011719,180.287659,-10.260576,11.852252
1958,0.991177,0.101809,-0.083509,0.014853,180.723068,-9.704578,11.667689
2082,0.991690,0.096145,-0.082922,0.020530,181.440186,-9.695659,10.952903
2202,0.991883,0.093491,-0.081688,0.027326,182.263214,-9.622667,10.578547
2322,0.992131,0.088699,-0.081282,0.034533,183.145844,-9.637279,9.952296
2443,0.991728,0.091197,-0.080837,0.040180,183.777557,-9.652134,10.188855
2564,0.991425,0.092727,-0.080224,0.045098,184.336380,-9.638787,10.320671
2685,0.990729,0.097022,-0.081093,0.049588,184.803833,-9.805558,10.773889
2806,0.990607,0.093828,-0.082521,0.055453,185.499649,-10.014507,10.339226
2929,0.990737,0.092514,-0.078054,0.061479,186.251190,-9.557481,10.146288
3050,0.990574,0.087890,-0.078936,0.069277,187.190247,-9.704144,9.529433
3171,0.989814,0.089415,-0.078646,0.077970,188.183807,-9.766537,9.623199
3292,0.989390,0.091630,-0.076296,0.082955,188.759384,-9.565489,9.848011
3413,0.988699,0.094214,-0.075654,0.088689,189.403992,-9.573279,10.097314
3533,0.988281,0.088259,-0.076038,0.098590,190.605927,-9.653903,9.308318
3653,0.986076,0.091420,-0.086553,0.108616,191.658859,-10.985121,9.468587
3776,0.985036,0.086100,-0.091365,0.118049,192.786453,-11.555832,8.691571
3897,0.982267,0.090448,-0.097504,0.132117,194.343124,-12.441840,8.950320
4018,0.980393,0.091176,-0.096276,0.145736,195.940842,-12.436113,8.878309
4139,0.977070,0.096274,-0.105214,0.158076,197.279678,-13.652939,9.170455
4260,0.976353,0.085004,-0.110636,0.165110,198.244522,-14.129189,7.671394
4380,0.975389,0.081068,-0.110138,0.172931,199.229706,-14.057355,7.109107
4500,0.973510,0.082835,-0.109384,0.182877,200.390137,-14.079634,7.182426
4621,0.972723,0.077572,-0.101971,0.193357,201.723404,-13.201593,6.575018
4741,0.971875,0.074822,-0.097290,0.200964,202.670944,-12.660951,6.256553
4861,0.971580,0.074490,-0.090858,0.205475,203.221664,-11.956213,6.303151
4981,0.969637,0.075559,-0.096805,0.211458,203.912964,-12.690664,6.213494
5101,0.968253,0.078854,-0.095699,0.217030,204.539520,-12.682561,6.542626
5221,0.966155,0.076526,-0.097132,0.226373,205.683823,-12.846330,6.117226
5341,0.964467,0.076221,-0.096983,0.233624,206.556992,-12.867001,5.988529
5463,0.963965,0.076098,-0.093436,0.237155,206.983368,-12.487831,6.019996
5584,0.964158,0.073583,-0.093068,0.237306,207.030991,-12.379628,5.741880
5705,0.966103,0.073985,-0.088675,0.230868,206.257446,-11.858726,5.983043
5825,0.969900,0.080604,-0.078782,0.215830,204.412659,-10.813647,7.155397
5945,0.971899,0.087069,-0.070857,0.206886,203.317551,-10.006381,8.168654
6066,0.973376,0.079197,-0.067724,0.204138,203.078873,-9.449370,7.369421
6187,0.975146,0.070497,-0.065680,0.199496,202.615036,-8.987706,6.469060
6310,0.976673,0.061592,-0.063608,0.195607,202.237045,-8.531013,5.537307
6431,0.974979,0.055748,-0.082537,0.198713,202.630371,-10.550326,4.428133
6552,0.975172,0.059063,-0.091816,0.192648,201.873062,-11.643949,4.674406
6673,0.977107,0.065949,-0.078536,0.186375,201.075912,-10.256738,5.809507
6794,0.975839,0.060698,-0.083384,0.192595,201.855362,-10.726397,5.041690
6915,0.974100,0.062166,-0.087318,0.199079,202.603806,-11.236874,5.050437
7035,0.973100,0.064317,-0.082295,0.205325,203.326492,-10.752942,5.336977
7157,0.971869,0.060341,-0.080716,0.212851,204.260880,-10.519957,4.838296
7277,0.970502,0.063945,-0.074803,0.220073,205.088394,-9.981940,5.312912
7398,0.967227,0.095921,-0.065083,0.225890,205.512024,-9.743344,9.116242
7519,0.952607,0.198126,-0.038644,0.227562,205.085403,-9.427361,21.396044
7640,0.939546,0.258156,-0.029729,0.222972,204.183990,-9.845140,28.613276
7761,0.910834,0.352936,-0.024905,0.212577,202.143784,-11.269292,40.148922
7882,0.847826,0.491830,0.014433,0.197681,200.766113,-9.786522,58.438770
8005,0.780183,0.597624,0.057512,0.175623,200.198898,-6.902167,73.673279
8126,0.720168,0.668864,0.089995,0.160849,200.693085,-4.907600,84.872520
8247,0.675025,0.712930,0.113391,0.152339,201.598633,-3.676939,92.426620
8367,0.640954,0.741770,0.130326,0.148192,202.572296,-3.025648,97.735817
8487,0.639656,0.743269,0.129445,0.147064,202.401962,-3.039015,97.967148
8608,0.641809,0.741273,0.127143,0.149741,202.418304,-3.370660,97.558037
8729,0.645385,0.737971,0.124926,0.152516,202.459274,-3.661004,96.930443
8852,0.680255,0.706591,0.113204,0.158617,202.129837,-4.021968,91.388458
8973,0.730384,0.653881,0.097250,0.171795,202.298325,-4.738472,82.738487
9094,0.799849,0.567385,0.065758,0.184347,201.810318,-5.969463,69.549599
9215,0.883083,0.424318,0.022548,0.199003,201.946060,-7.415098,49.888138
9336,0.930679,0.302407,0.000611,0.205859,202.736847,-7.086609,34.574402
9457,0.957144,0.208470,-0.006966,0.200897,202.549500,-5.572055,23.462811
9577,0.971373,0.130997,-0.024240,0.196669,202.183167,-5.659630,14.250299
9699,0.979832,0.033329,-0.046641,0.191400,201.962891,-5.978779,2.735183
9819,0.976625,-0.084232,-0.070065,0.184905,202.028763,-6.067767,-11.040969
9940,0.955522,-0.216690,-0.092508,0.177360,202.391937,-5.734774,-26.690290
10061,0.921676,-0.332230,-0.121130,0.159548,202.159836,-6.734683,-40.964714
10182,0.870304,-0.447553,-0.147188,0.143509,202.624664,-7.339046,-55.898605
10303,0.833048,-0.513947,-0.160137,0.127427,202.360657,-7.806209,-64.889656
10424,0.809646,-0.549685,-0.159731,0.129607,202.836456,-6.670825,-69.695114
10547,0.818145,-0.537797,-0.154911,0.131936,202.638184,-6.405796,-67.919891
10668,0.849611,-0.486088,-0.142964,0.146400,202.937668,-5.773830,-60.722389
10789,0.919660,-0.333960,-0.114102,0.172245,203.253784,-5.441174,-41.035511
10909,0.954300,-0.205275,-0.099035,0.193281,204.333115,-6.296154,-25.637794
11029,0.967203,-0.131120,-0.090684,0.197720,204.166565,-7.098186,-16.961943
11150,0.973173,-0.082023,-0.072903,0.202198,204.074539,-6.241740,-10.967675
11271,0.975458,-0.036583,-0.058881,0.208970,204.459427,-5.715080,-5.535292
11394,0.975453,-0.016420,-0.052906,0.213107,204.798904,-5.521342,-3.143563
11515,0.973536,0.004060,-0.054993,0.221762,205.716629,-6.250566,-0.950316
11636,0.970617,0.027237,-0.059561,0.231528,206.738586,-7.367579,1.461375
11757,0.968294,0.034863,-0.059455,0.240100,207.703079,-7.578294,2.252842
11878,0.967227,0.039567,-0.055417,0.244595,208.201401,-7.270694,2.856371
11999,0.965819,0.061797,-0.055701,0.245489,208.152588,-7.928393,5.331059
12119,0.963982,0.059052,-0.056945,0.252984,209.063660,-8.028498,4.926556
12241,0.964070,0.056426,-0.055337,0.253602,209.157791,-7.776922,4.673633
12361,0.964490,0.058532,-0.046867,0.253236,209.112106,-6.894962,5.153280
12482,0.962601,0.042501,-0.049334,0.262964,210.368378,-6.737999,3.225471
12603,0.960653,0.033159,-0.048314,0.271483,211.440475,-6.363196,2.160959
12724,0.958114,0.028309,-0.051376,0.280301,212.529755,-6.564312,1.467678
12851,0.955174,0.033256,-0.053106,0.289324,213.588394,-6.932134,1.893507
12972,0.951742,0.018285,-0.060108,0.300385,215.037537,-7.203901,-0.075386
13095,0.948656,0.020116,-0.059125,0.310070,216.194412,-7.160777,0.086620
13216,0.945611,0.022289,-0.061562,0.318631,217.231934,-7.506069,0.168839
13337,0.943904,0.022003,-0.065216,0.322954,217.778503,-7.893263,-0.033869
13458,0.942487,0.022899,-0.063935,0.327257,218.291214,-7.787713,0.076269
13578,0.939725,0.022007,-0.061905,0.335547,219.300568,-7.534087,-0.010608
13698,0.936671,0.023723,-0.061931,0.343861,220.309952,-7.604374,0.106949
13818,0.935976,0.041852,-0.058817,0.344571,220.268326,-7.986791,2.188216
13951,0.932984,0.044066,-0.057929,0.352469,221.223923,-7.999057,2.395481
14071,0.930300,0.047163,-0.055685,0.359456,222.060638,-7.903961,2.761426
14192,0.927916,0.043857,-0.055160,0.366058,222.897369,-7.728282,2.371837
14313,0.925702,0.045178,-0.052723,0.371816,223.596893,-7.539387,2.569069
14434,0.923090,0.045670,-0.050709,0.378470,224.416443,-7.364889,2.654537
14555,0.919893,0.044621,-0.051567,0.386184,225.387695,-7.431212,2.442885
14676,0.917344,0.043242,-0.051281,0.392394,226.172089,-7.355211,2.258918
14799,0.915111,0.044814,-0.049130,0.397671,226.819016,-7.213124,2.480969
14920,0.912173,0.047266,-0.046842,0.404356,227.640518,-7.104524,2.792662
15041,0.909219,0.046243,-0.047698,0.410974,228.483917,-7.165972,2.592818
15161,0.906440,0.045233,-0.047238,0.417230,229.280060,-7.087277,2.459387
15281,0.903367,0.045691,-0.047831,0.423727,230.105270,-7.188797,2.427188
15401,0.900057,0.046336,-0.049051,0.430507,230.971039,-7.365138,2.379518
15522,0.896991,0.047325,-0.049602,0.436691,231.759598,-7.487992,2.403504
15645,0.893910,0.045051,-0.049639,0.443197,232.607224,-7.393239,2.111839
15766,0.891185,0.044641,-0.048977,0.448764,233.323898,-7.317144,2.057482
15887,0.888656,0.045881,-0.047489,0.453786,233.960678,-7.241041,2.220972
16008,0.885262,0.045297,-0.047762,0.460401,234.822388,-7.254329,2.092475
16129,0.882104,0.046031,-0.047060,0.466424,235.599823,-7.236393,2.155265
16250,0.878705,0.046106,-0.046612,0.472832,236.434601,-7.210591,2.134376
16370,0.875389,0.045755,-0.046277,0.479011,237.244843,-7.172382,2.066193
16492,0.872123,0.046175,-0.045783,0.484937,238.020813,-7.160009,2.087188
16612,0.868951,0.048124,-0.042307,0.490725,238.761887,-6.935766,2.431377
16733,0.865424,0.048459,-0.040444,0.497041,239.590363,-6.786768,2.520670
16854,0.861600,0.047601,-0.041373,0.503646,240.476852,-6.848382,2.329179
16975,0.858350,0.048182,-0.040220,0.509203,241.212555,-6.783348,2.409924
17096,0.855382,0.045922,-0.040480,0.514360,241.913956,-6.689758,2.130245
17217,0.852105,0.046857,-0.038830,0.519812,242.637375,-6.597169,2.278104
17340,0.848441,0.047889,-0.038080,0.525734,243.431015,-6.601879,2.378280
17461,0.845172,0.046424,-0.041067,0.530881,244.148270,-6.817571,2.012460
17582,0.842324,0.046262,-0.040952,0.535410,244.765457,-6.807217,1.967086
17702,0.839690,0.047455,-0.039545,0.539534,245.318207,-6.754720,2.136585
