Time(ms),AccelX,AccelY,AccelZ
2728,0.24,-0.51,9.86
2870,0.24,-0.51,9.91
3010,0.27,-0.52,9.95
3151,0.2,-0.57,10.06
3291,0.26,-0.43,9.86
3432,0.25,-0.48,9.93
3573,0.33,-0.42,10.09
3713,0.31,-0.42,9.99
3860,0.3,-0.47,9.87
4000,0.27,-0.65,9.98
4141,0.28,-0.46,10.05
4282,0.36,-0.42,9.85
4422,0.31,-0.54,9.8
4563,0.29,-0.54,9.94
4704,0.33,-0.43,9.98
4844,0.3,-0.42,10.0
4985,0.38,-0.35,9.83
5131,0.27,-0.45,9.97
5272,0.21,-0.43,10.11
5413,0.3,-0.51,9.97
5553,0.33,-0.48,10.06
5694,0.29,-0.53,9.98
5834,0.34,-0.45,9.98
5975,0.3,-0.49,9.69
6116,0.26,-0.5,9.92
6256,0.31,-0.56,9.97
6403,0.28,-0.58,10.09
6543,0.31,-0.46,9.95
6684,0.32,-0.43,9.73
6825,0.23,-0.48,10.11
6965,0.3,-0.55,9.75
7106,0.2,-0.49,9.77
7252,0.31,-0.41,9.93
7393,0.36,-0.41,10.21
7534,0.28,-0.42,10.27
7680,0.34,-0.41,9.91
7821,0.34,-0.46,10.04
7961,0.29,-0.43,9.65
8102,0.37,-0.43,9.79
8243,0.33,-0.34,9.87
8389,0.31,-0.42,10.05
8530,0.35,-0.56,9.81
8670,0.29,-0.58,9.9
8817,0.33,-0.41,9.89
8958,0.26,-0.52,10.21
9098,0.4,-0.51,9.85
9239,0.26,-0.51,9.94
9379,0.38,-0.4,10.1
9520,0.29,-0.62,10.0
9692,0.34,-0.44,9.86
9833,0.39,-0.47,9.81
9973,0.39,-0.4,10.1
10120,0.51,-0.23,9.78
10260,0.41,-0.39,10.05
10401,0.4,-0.43,9.84
10541,0.37,-0.49,9.83
10682,0.33,-0.36,9.92
10823,0.28,-0.59,10.04
10963,0.33,-0.35,9.82
11104,0.36,-0.41,10.13
11245,0.39,-0.3,10.06
11391,0.34,-0.34,9.92
11532,0.4,-0.29,9.82
11672,0.3,-0.29,9.87
11813,0.34,-0.28,9.93
11954,0.37,-0.36,9.95
12094,0.35,-0.42,9.88
12235,0.26,-0.41,9.84
12375,0.29,-0.47,9.9
12522,0.29,-0.29,9.66
12663,0.31,-0.45,9.92
12803,0.23,-0.36,9.81
12944,0.3,-0.31,9.69
13084,0.29,-0.25,10.07
13225,0.23,-0.35,9.88
13366,0.23,-0.43,9.95
13506,0.42,-0.24,10.1
13647,0.29,-0.22,9.89
13793,0.21,-0.35,9.78
13934,0.25,-0.36,9.94
14075,0.27,-0.42,9.9
14215,0.22,-0.36,10.03
14356,0.36,-0.46,9.9
14497,0.33,-0.37,10.09
14637,0.27,-0.41,9.92
14778,0.29,-0.43,9.96
14918,0.26,-0.44,9.91
15065,0.4,-0.35,9.89
15206,0.33,-0.44,10.02
15346,0.31,-0.37,10.19
15487,0.29,-0.41,9.79
15627,0.32,-0.49,9.86
15768,0.21,-0.5,10.04
15909,0.3,-0.44,10.02
16049,0.29,-0.32,9.94
16196,0.34,-0.28,9.96
16336,0.37,-0.33,9.96
16477,0.29,-0.37,10.01
16618,0.37,-0.4,9.93
16758,0.35,-0.4,10.01
16940,0.3,-0.31,9.93
17080,0.29,-0.4,9.89
17219,0.3,-0.35,10.0
