Timestamp,qw,qx,qy,qz,yaw,pitch,roll
366,0.999886,0.006699,-0.013140,0.001061,180.111542,-1.506531,0.766269
487,0.999518,0.014101,-0.027404,0.002458,180.237610,-3.144356,1.609942
609,0.998945,0.020943,-0.040591,0.003879,180.347824,-4.660971,2.387892
731,0.998244,0.027318,-0.052166,0.005678,180.488846,-5.996034,3.109558
853,0.997329,0.033599,-0.064290,0.007977,180.669724,-7.398718,3.815626
975,0.996186,0.039928,-0.076767,0.010819,180.894501,-8.847935,4.521210
1097,0.995043,0.045385,-0.087077,0.015460,181.330521,-10.060828,5.105831
1223,0.993401,0.052373,-0.100523,0.017269,181.391251,-11.626309,5.894098
1345,0.991787,0.058934,-0.111857,0.019075,181.449524,-12.951440,6.636652
1467,0.989785,0.066615,-0.124261,0.020950,181.474075,-14.405038,7.514367
1589,0.987623,0.073628,-0.136552,0.022909,181.497696,-15.848652,8.318567
1711,0.985398,0.080855,-0.147724,0.024942,181.515427,-17.167578,9.152726
1833,0.982823,0.088253,-0.159803,0.026910,181.492630,-18.594381,10.017806
1954,0.980118,0.095749,-0.171352,0.028817,181.443298,-19.962761,10.905005
2076,0.977429,0.102768,-0.181977,0.030790,181.400818,-21.227173,11.741536
2196,0.974527,0.109993,-0.192639,0.032860,181.343887,-22.500559,12.611742
2317,0.971298,0.118064,-0.203709,0.033701,181.087616,-23.808615,13.631504
2438,0.968051,0.125608,-0.214025,0.035833,180.987289,-25.047964,14.566533
2559,0.964448,0.133749,-0.224890,0.036993,180.715988,-26.339195,15.623110
2680,0.961142,0.141352,-0.233985,0.038323,180.485397,-27.427116,16.614092
2801,0.957788,0.149010,-0.242515,0.040195,180.307800,-28.459408,17.607870
2924,0.953992,0.157158,-0.251831,0.042102,180.077499,-29.585638,18.688768
3046,0.950073,0.165914,-0.260490,0.044395,179.861481,-30.643829,19.849474
3167,0.946515,0.173668,-0.267778,0.047282,179.764450,-31.556164,20.860455
3288,0.942557,0.182233,-0.275537,0.049484,179.514877,-32.510437,22.026232
3408,0.939669,0.189114,-0.280376,0.051363,179.348907,-33.116844,22.951595
3528,0.937109,0.196046,-0.283937,0.052586,179.121887,-33.557770,23.896564
3649,0.934555,0.204932,-0.285879,0.053615,178.830627,-33.801315,25.091515
3772,0.933244,0.209614,-0.285709,0.058990,179.332123,-33.917751,25.521387
3893,0.932238,0.213073,-0.285637,0.062736,179.671432,-34.007229,25.849028
4014,0.931087,0.217342,-0.285563,0.065464,179.846176,-34.071301,26.325211
4135,0.931086,0.218805,-0.283305,0.070245,180.471802,-33.938431,26.304842
4256,0.931252,0.218882,-0.280964,0.076883,181.393631,-33.845406,26.029226
4377,0.930643,0.220298,-0.280057,0.083263,182.181091,-33.914249,25.970043
4498,0.929923,0.221548,-0.279479,0.089683,182.971207,-34.022976,25.891544
4620,0.929375,0.221831,-0.279060,0.095766,183.754349,-34.138165,25.695906
4740,0.928490,0.224200,-0.278423,0.100562,184.291962,-34.202427,25.829096
4860,0.928099,0.225234,-0.276934,0.105836,184.971909,-34.174789,25.752470
4981,0.927874,0.225501,-0.274939,0.112249,185.844559,-34.114006,25.524660
5102,0.926894,0.227457,-0.274525,0.117295,186.426178,-34.212914,25.595642
5223,0.925740,0.229166,-0.274422,0.123175,187.118149,-34.370510,25.603662
5344,0.924965,0.229110,-0.274051,0.129751,187.983200,-34.501690,25.340969
5467,0.923760,0.230808,-0.274165,0.134980,188.588287,-34.668987,25.371634
5588,0.923091,0.231210,-0.273221,0.140667,189.336197,-34.712761,25.199501
5709,0.922399,0.232278,-0.272005,0.145715,189.979813,-34.714424,25.141848
5830,0.921578,0.231838,-0.271721,0.152000,190.826859,-34.841129,24.834677
5950,0.921038,0.232737,-0.270571,0.155901,191.326584,-34.818665,24.800051
6070,0.919715,0.237065,-0.269688,0.158697,191.529831,-34.841991,25.278547
6191,0.918452,0.237588,-0.269842,0.164852,192.311188,-35.030113,25.107906
6314,0.917403,0.240455,-0.269178,0.167597,192.564514,-35.063808,25.390165
6435,0.916121,0.241997,-0.268572,0.173266,193.257919,-35.166122,25.375305
6556,0.914468,0.242518,-0.269348,0.179935,194.098160,-35.443161,25.180044
6677,0.912385,0.245473,-0.271161,0.183741,194.434006,-35.803936,25.432093
6798,0.908786,0.251131,-0.273143,0.190858,195.086746,-36.321602,25.920040
6919,0.905145,0.251299,-0.276199,0.203142,196.662125,-37.020432,25.419052
7040,0.904285,0.237533,-0.281129,0.216344,199.003464,-37.677689,22.898336
7162,0.905341,0.228791,-0.283253,0.218568,199.683533,-37.799084,21.566351
7282,0.904874,0.229970,-0.283867,0.218467,199.606949,-37.894482,21.729225
7402,0.904776,0.235286,-0.276112,0.223102,200.104279,-37.201866,22.324875
7523,0.902159,0.253884,-0.271935,0.218392,198.688843,-36.980965,25.135363
7644,0.896048,0.285673,-0.260881,0.217766,197.413788,-36.295021,29.618484
7765,0.878265,0.304574,-0.270775,0.250116,200.645782,-38.901428,30.890783
7886,0.851567,0.340480,-0.278437,0.285256,203.471329,-41.948589,34.478783
8009,0.841209,0.364910,-0.290523,0.273489,200.000778,-43.501854,38.852417
8130,0.849424,0.395658,-0.252725,0.240946,195.475189,-38.316555,44.545956
8251,0.844311,0.439948,-0.138445,0.272779,202.626892,-28.281130,49.274261
8372,0.846258,0.443809,-0.152600,0.252163,199.422775,-28.822733,50.311687
8492,0.844590,0.432929,-0.187649,0.253021,198.289581,-32.415409,48.920048
8612,0.813186,0.439973,-0.223329,0.308656,203.287872,-39.406391,48.389217
8735,0.800908,0.395660,-0.250653,0.373047,213.813660,-44.162769,38.520313
8856,0.761338,0.345087,-0.261259,0.482717,234.377777,-46.967903,23.602463
8977,0.724878,0.316630,-0.272492,0.547757,247.976471,-47.895157,13.851485
9098,0.733683,0.294782,-0.266674,0.551080,248.974228,-45.742050,11.458086
9219,0.732315,0.233181,-0.293767,0.568361,255.385651,-44.052868,0.605321
9340,0.720779,0.226480,-0.297922,0.583454,258.657318,-43.927967,-1.683855
9461,0.717281,0.248101,-0.335531,0.558000,256.508453,-49.307606,-1.629080
9584,0.733216,0.242604,-0.341897,0.535383,252.693329,-49.564896,-0.912614
9705,0.714368,0.234976,-0.363598,0.549775,257.959991,-51.064445,-5.851988
9831,0.688178,0.223475,-0.401920,0.561180,265.459106,-53.514172,-13.966819
9951,0.673859,0.197942,-0.426594,0.569862,271.285919,-53.180481,-21.478210
10071,0.671501,0.170299,-0.424309,0.583128,273.597656,-50.215843,-24.576994
10192,0.671454,0.152826,-0.432411,0.582071,274.539734,-49.340816,-27.232893
10313,0.670567,0.139962,-0.432610,0.586166,275.282227,-48.096397,-28.575523
10436,0.663422,0.115501,-0.438177,0.595419,277.693085,-45.966602,-32.020763
10557,0.659810,0.146177,-0.428583,0.599659,277.403992,-47.806416,-28.561604
10678,0.663718,0.198814,-0.452197,0.561659,274.032715,-55.446278,-25.485920
10799,0.605737,0.220153,-0.446842,0.620435,286.959045,-54.539764,-29.737844
10920,0.565740,0.224279,-0.419287,0.673667,294.301025,-50.949772,-29.597006
11041,0.580721,0.244289,-0.404713,0.662786,289.817963,-52.548916,-24.560366
11161,0.561135,0.233455,-0.362380,0.706611,292.722748,-47.443581,-21.705477
11283,0.532605,0.185945,-0.353053,0.746393,298.706329,-40.817463,-25.764881
11403,0.550738,0.180982,-0.347248,0.737118,295.536407,-40.488541,-24.267567
11524,0.556146,0.204574,-0.360438,0.720366,294.481018,-44.078926,-23.961426
11645,0.558388,0.222826,-0.361674,0.712556,293.588226,-46.175198,-22.642458
11766,0.557910,0.207187,-0.340193,0.728059,293.475800,-42.944012,-21.154879
11887,0.548114,0.191678,-0.327026,0.745571,295.202576,-40.114265,-21.277555
12008,0.561303,0.184413,-0.320602,0.740363,292.948364,-39.269939,-20.229996
12131,0.565845,0.177291,-0.318293,0.739641,292.282990,-38.496853,-20.197086
12252,0.564498,0.168431,-0.333022,0.736249,293.048401,-38.608383,-22.593441
Timestamp,qw,qx,qy,qz,heading,pitch,roll
380,0.999838,0.011117,0.001353,-0.013783,178.422348,0.172616,1.271670
