Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
2664,-9.69,1.72,-0.55,0.03,-0.06,-0.01,45.64,-22.84,22.73
2800,-9.69,1.64,-0.47,0.02,-0.04,0.05,46.45,-22.71,22.99
2937,-9.57,1.67,-0.58,-0.01,-0.01,0.05,45.53,-22.89,22.46
3074,-9.62,1.47,-0.37,-0.06,-0.04,-0.07,46.10,-23.00,21.59
3210,-9.69,1.91,-0.12,0.03,-0.04,-0.06,45.92,-23.28,22.17
3347,-9.69,1.67,-0.40,0.06,-0.07,0.03,46.45,-23.36,21.53
3484,-9.56,1.84,-0.53,0.05,-0.01,-0.02,46.10,-23.11,22.01
3621,-9.75,1.72,-0.20,0.04,-0.04,-0.02,46.42,-23.50,22.07
3764,-9.72,1.52,-0.34,-0.02,-0.08,0.02,45.64,-23.03,22.60
3901,-9.55,1.64,-0.64,-0.02,-0.06,-0.02,45.75,-23.38,22.99
4038,-9.82,1.39,-0.26,0.05,0.00,0.01,45.69,-23.90,21.89
4174,-9.63,1.86,-0.28,0.04,-0.04,0.04,45.82,-23.75,22.41
4311,-9.62,1.64,-0.30,-0.00,-0.06,0.00,45.66,-23.59,22.27
4448,-9.66,1.46,-0.58,0.03,-0.06,0.03,46.04,-23.62,21.94
4583,-9.76,1.49,-0.54,0.03,-0.03,-0.03,45.75,-23.97,21.16
4719,-9.63,1.88,-0.40,-0.01,-0.05,-0.03,46.17,-23.19,21.44
4855,-9.61,1.76,-0.18,0.02,-0.05,0.01,45.29,-23.79,21.48
4997,-9.65,1.65,-0.35,0.02,-0.05,0.04,45.67,-24.03,21.65
5133,-9.65,1.60,-0.39,0.01,-0.04,0.02,45.48,-23.30,21.56
5269,-9.64,1.73,-0.47,0.01,-0.04,0.01,45.18,-22.92,21.31
5405,-9.62,1.75,-0.42,0.01,-0.02,-0.00,45.41,-22.86,22.64
5541,-9.60,1.69,-0.15,0.01,-0.03,-0.03,45.41,-24.03,21.89
5676,-9.62,1.77,-0.29,0.02,-0.04,0.02,45.48,-23.17,22.67
5812,-9.63,1.75,-0.32,0.02,-0.06,0.03,46.00,-23.78,22.38
5948,-9.60,1.59,-0.35,0.04,-0.05,0.00,45.03,-23.43,21.60
6083,-9.70,1.74,-0.49,0.03,-0.03,0.01,45.56,-23.50,20.61
6225,-9.56,1.98,-0.53,0.00,-0.03,-0.01,45.56,-23.17,22.64
