Timestamp,qw,qx,qy,qz,heading,pitch,roll
197,0.999897,0.004004,-0.013377,0.001443,180.159271,-1.533548,0.456687
317,0.999628,0.008996,-0.025576,-0.000261,179.943680,-2.930712,1.032693
438,0.999067,0.014016,-0.040726,-0.000779,179.844849,-4.666452,1.613873
558,0.998318,0.018986,-0.054629,-0.002857,179.551620,-6.255685,2.203485
678,0.997430,0.025660,-0.066497,-0.006700,179.030106,-7.602993,3.011800
798,0.996455,0.030089,-0.077399,-0.013177,178.206924,-8.827260,3.597567
918,0.995848,0.032253,-0.081957,-0.022826,177.052216,-9.309121,3.950107
1040,0.995523,0.031579,-0.082662,-0.033089,175.867615,-9.351649,3.971899
1160,0.995074,0.032164,-0.082913,-0.043707,174.631729,-9.334496,4.141247
1280,0.994369,0.034552,-0.084824,-0.053225,173.496414,-9.498125,4.521023
1400,0.993791,0.033587,-0.085486,-0.062731,172.400177,-9.537702,4.506227
1520,0.993173,0.031028,-0.084864,-0.073712,171.154800,-9.438876,4.310526
1640,0.992502,0.030287,-0.084551,-0.082857,170.102417,-9.370302,4.308878
1760,0.991797,0.028186,-0.084884,-0.091268,169.143463,-9.394430,4.150354
1883,0.990842,0.027940,-0.084450,-0.101546,167.954041,-9.304365,4.214285
2004,0.989714,0.026874,-0.084610,-0.112145,166.729935,-9.291193,4.193827
2125,0.988451,0.027596,-0.085182,-0.122225,165.545441,-9.302704,4.380676
2245,0.987297,0.029382,-0.088378,-0.128692,164.751892,-9.610371,4.698630
2365,0.986309,0.023602,-0.089586,-0.136393,163.899094,-9.804083,4.131646
2485,0.984457,0.029610,-0.088464,-0.148774,162.402725,-9.518540,4.922207
2606,0.978308,0.086993,-0.096970,-0.161037,160.343079,-9.306439,11.778612
2729,0.970463,0.132653,-0.107506,-0.170407,158.643616,-9.407287,17.344646
2850,0.973666,0.072469,-0.111730,-0.185014,157.448120,-10.997187,10.712276
2971,0.975976,-0.017669,-0.105034,-0.190049,157.927780,-12.224180,0.318632
3092,0.962388,-0.171545,-0.078941,-0.195299,159.053421,-12.647283,-17.866245
3213,0.956638,-0.199891,-0.071272,-0.199496,158.792450,-12.481136,-21.258631
