Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,label
2785,0.17,-0.28,9.92,0.03,-0.07,-0.02,12.23,-21.38,-48.41,1
2922,0.39,-0.36,9.86,0.07,-0.04,-0.12,11.77,-21.54,-48.92,1
3060,0.17,-0.23,10.18,-0.02,-0.07,-0.01,12.63,-21.54,-48.71,1
3198,0.2,-0.15,10.48,-0.01,0.08,0.0,13.11,-22.13,-49.46,1
3335,0.08,-0.42,10.05,-0.05,-0.07,-0.03,12.89,-21.59,-48.09,1
3473,0.21,-0.57,9.64,0.02,-0.05,-0.04,12.45,-21.76,-48.95,1
3611,-0.06,-0.54,9.78,-0.05,-0.09,-0.02,12.77,-21.57,-50.15,1
3749,0.31,-0.28,10.46,-0.0,-0.08,-0.02,12.13,-21.48,-49.84,1
3893,0.03,-0.47,9.66,0.06,-0.07,-0.01,11.77,-20.68,-50.7,1
4031,0.35,-0.46,9.88,0.1,-0.12,-0.01,11.75,-22.2,-49.21,1
4168,0.4,-0.12,9.33,-0.0,0.06,0.07,12.53,-22.32,-48.85,1
4305,0.33,-0.3,9.88,0.04,-0.09,0.05,12.25,-21.59,-49.69,1
4442,0.21,-0.37,10.06,-0.03,-0.03,0.02,11.6,-21.81,-48.61,1
4579,0.23,-0.4,9.87,-0.07,-0.04,-0.0,11.87,-21.72,-49.66,1
4714,0.25,-0.53,9.99,0.13,0.03,-0.02,11.69,-21.48,-49.25,1
4850,0.1,-0.44,9.92,0.08,-0.02,0.05,12.96,-21.21,-49.58,1
4986,0.13,-0.52,9.74,0.1,-0.07,0.02,13.3,-21.43,-49.88,1
5126,-0.01,-0.29,10.08,0.09,0.01,0.03,12.79,-22.74,-49.69,1
5262,0.05,-0.1,9.89,0.11,-0.04,-0.0,12.32,-23.02,-49.34,1
5398,0.04,-0.24,9.74,-0.02,-0.03,0.06,13.48,-22.98,-48.77,1
5534,-0.01,-0.23,9.77,-0.08,-0.09,-0.01,12.76,-23.03,-49.23,1
5669,-0.05,-0.37,9.77,-0.12,-0.02,0.02,12.86,-22.01,-49.65,1
5805,-0.02,-0.4,9.89,0.06,-0.05,-0.02,13.64,-22.6,-49.96,1
5941,0.11,-0.37,9.81,-0.06,-0.09,-0.01,13.24,-21.82,-49.75,1
6077,0.08,-0.36,9.89,0.02,-0.04,0.02,13.3,-22.45,-49.02,1
6218,0.08,-0.39,9.95,-0.01,-0.03,0.01,12.28,-22.32,-48.54,1
6354,0.07,-0.42,9.99,-0.02,-0.02,-0.01,12.41,-22.39,-49.3,1
6490,0.07,-0.45,9.93,-0.02,-0.03,-0.01,12.44,-22.11,-48.96,1
6625,0.08,-0.47,9.94,-0.01,-0.03,0.0,12.91,-22.04,-48.42,1
6761,0.08,-0.49,9.83,0.02,-0.05,0.02,13.07,-22.01,-48.49,1
6897,0.04,-0.38,9.96,0.01,-0.03,0.0,13.37,-22.04,-49.53,1
7033,0.01,-0.47,9.88,0.03,-0.04,0.0,13.58,-21.91,-49.62,1
7168,-0.05,-0.55,9.87,-0.04,-0.04,0.01,13.36,-21.92,-49.91,1
7304,0.0,-0.52,9.85,-0.02,-0.04,-0.0,13.88,-22.89,-50.07,1
7445,0.03,-0.5,9.86,0.09,-0.09,-0.02,13.45,-21.82,-48.89,1
7581,0.02,-0.45,9.81,0.0,-0.04,-0.01,13.18,-22.46,-49.99,1
7716,-0.07,-0.42,9.92,0.02,-0.03,-0.01,13.83,-22.27,-50.34,1
7852,-0.15,-0.49,9.77,0.09,-0.04,-0.02,13.74,-22.67,-49.87,1
7988,0.04,-0.36,9.96,-0.06,-0.04,-0.02,13.81,-22.2,-49.62,1
8124,0.0,-0.38,9.86,0.03,-0.05,-0.01,13.29,-22.2,-48.83,1
8259,-0.01,-0.42,9.9,-0.01,-0.04,0.01,13.77,-22.38,-50.32,1
8395,0.02,-0.46,9.82,-0.01,-0.05,-0.02,13.74,-22.45,-50.2,1
8531,0.02,-0.43,9.87,0.03,-0.02,0.01,13.74,-22.95,-50.51,1
8671,-0.02,-0.42,9.91,0.0,-0.04,0.01,13.04,-22.1,-50.1,1
8807,-0.0,-0.43,9.95,0.01,-0.05,-0.01,13.64,-22.55,-49.77,1
8943,0.04,-0.47,9.96,0.02,-0.04,-0.02,12.39,-21.82,-50.19,1
9079,0.03,-0.43,9.92,0.02,-0.05,-0.02,12.77,-22.13,-49.24,1
9214,0.05,-0.45,9.85,0.02,-0.04,-0.02,12.23,-21.78,-49.53,1
9350,0.1,-0.44,9.99,-0.03,-0.04,-0.0,12.79,-21.75,-48.66,1
9486,0.09,-0.52,9.86,-0.03,-0.07,0.01,12.8,-21.28,-49.8,1
9622,0.08,-0.5,9.97,-0.02,-0.05,0.01,12.88,-21.31,-48.51,1
9762,0.03,-0.71,9.72,-0.04,-0.06,0.03,13.27,-21.22,-49.14,1
9898,-0.05,-0.61,10.01,-0.04,-0.0,0.01,13.26,-20.94,-49.59,1
10034,-0.02,-0.69,9.8,-0.02,-0.05,0.0,13.26,-20.48,-48.95,1
10169,-0.08,-0.64,10.02,0.04,-0.04,-0.01,13.05,-21.09,-49.78,1
10305,-0.11,-0.69,9.85,0.01,-0.04,-0.03,13.5,-20.61,-49.17,1
10441,-0.07,-0.7,9.95,0.01,-0.06,-0.03,13.56,-20.04,-48.36,1
10577,-0.06,-0.68,9.94,0.0,-0.01,-0.01,13.17,-19.92,-49.05,1
10712,-0.08,-0.73,9.86,0.03,-0.05,0.0,12.93,-20.81,-49.24,1
10848,-0.09,-0.7,9.98,0.01,-0.06,-0.0,13.93,-20.86,-49.18,1
10989,-0.07,-0.72,9.89,0.03,-0.04,-0.0,12.99,-21.25,-48.42,1
11125,-0.07,-0.62,9.9,0.02,-0.05,0.0,13.75,-21.19,-48.45,1
11260,-0.05,-0.6,9.94,0.02,-0.05,-0.0,13.39,-20.81,-49.44,1
11396,-0.08,-0.64,9.91,0.03,-0.04,-0.02,13.43,-20.67,-49.14,1
11532,-0.02,-0.52,9.96,0.04,-0.02,-0.01,13.59,-21.66,-48.95,1
11667,-0.01,-0.54,9.91,0.03,-0.03,-0.0,13.45,-21.37,-49.33,1
11803,-0.07,-0.57,9.98,0.01,-0.04,-0.0,13.24,-22.0,-48.92,1
