Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,label
2784.968,0.156,-0.287,9.912,0.034,-0.067,0.016,12.187,-21.352,-48.412,1
2921.971,0.356,-0.363,9.84,0.059,-0.057,-0.117,11.775,-21.547,-48.932,1
3060.031,0.139,-0.2,10.169,-0.025,-0.054,-0.031,12.625,-21.558,-48.705,1
3198.001,0.192,-0.135,10.506,-0.034,0.07,-0.026,13.111,-22.084,-49.468,1
3334.981,0.079,-0.445,10.049,-0.072,-0.077,-0.004,12.894,-21.582,-48.1,1
3473.028,0.236,-0.581,9.632,0.021,-0.049,-0.043,12.451,-21.737,-48.961,1
3610.984,-0.086,-0.529,9.77,-0.091,-0.081,-0.025,12.766,-21.57,-50.125,1
3749.033,0.294,-0.249,10.482,0.013,-0.063,-0.019,12.108,-21.488,-49.827,1
3892.98,0.029,-0.462,9.646,0.077,-0.069,-0.006,11.732,-20.684,-50.697,1
4030.971,0.314,-0.47,9.882,0.087,-0.106,0.015,11.767,-22.209,-49.261,1
4168.007,0.393,-0.141,9.336,0.007,0.086,0.086,12.515,-22.33,-48.841,1
4304.971,0.329,-0.321,9.882,0.024,-0.097,0.055,12.275,-21.614,-49.696,1
4441.971,0.208,-0.378,10.064,-0.037,-0.019,0.054,11.611,-21.806,-48.626,1
4579.006,0.231,-0.422,9.868,-0.053,-0.049,0.032,11.844,-21.738,-49.643,1
4714.002,0.291,-0.515,9.957,0.141,-0.021,-0.041,11.666,-21.46,-49.222,1
4849.977,0.093,-0.446,9.921,0.016,-0.035,0.045,12.944,-21.211,-49.547,1
4986.019,0.102,-0.534,9.733,0.093,-0.072,0.026,13.287,-21.431,-49.859,1
5125.992,-0.018,-0.295,10.06,0.137,0.013,0.045,12.806,-22.714,-49.679,1
5261.989,0.071,-0.111,9.877,0.137,-0.014,-0.029,12.292,-22.964,-49.321,1
5397.987,0.057,-0.267,9.745,-0.028,-0.03,0.068,13.461,-22.96,-48.746,1
5533.998,-0.028,-0.222,9.792,-0.108,-0.085,-0.028,12.77,-23.028,-49.19,1
5668.983,-0.035,-0.396,9.762,-0.127,0.014,0.015,12.883,-22.042,-49.632,1
5805.004,-0.044,-0.367,9.868,0.043,-0.029,-0.045,13.626,-22.592,-49.965,1
5940.998,0.139,-0.339,9.813,-0.101,-0.11,-0.003,13.273,-21.811,-49.774,1
6077.017,0.08,-0.368,9.881,0.018,-0.075,-0.013,13.298,-22.432,-48.992,1
6217.993,0.075,-0.384,9.985,-0.051,-0.056,-0.018,12.284,-22.277,-48.546,1
6354.015,0.048,-0.444,10.002,-0.017,-0.027,-0.034,12.42,-22.409,-49.315,1
6490.006,0.087,-0.441,9.951,-0.043,-0.036,-0.052,12.448,-22.099,-48.963,1
6624.974,0.057,-0.513,9.957,-0.016,-0.006,-0.034,12.922,-22.016,-48.396,1
6761.002,0.065,-0.451,9.814,0.013,-0.067,-0.025,13.083,-22.019,-48.515,1
6896.972,0.062,-0.383,9.982,0.005,-0.047,0.0,13.417,-22.021,-49.539,1
