Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
2728,0.24,-0.51,9.86,-0.00,-0.06,-0.01,17.00,-11.40,20.15
2870,0.24,-0.51,9.91,0.03,-0.05,-0.01,17.00,-11.40,20.15
3010,0.27,-0.52,9.95,0.01,-0.04,-0.00,17.00,-11.40,20.15
3151,0.20,-0.57,10.06,0.02,-0.05,-0.02,17.00,-11.40,20.15
3291,0.26,-0.43,9.86,0.02,-0.05,-0.00,17.00,-11.40,20.15
3432,0.25,-0.48,9.93,-0.00,-0.04,-0.00,17.00,-11.40,20.15
3573,0.33,-0.42,10.09,-0.01,-0.05,-0.02,17.00,-11.40,20.15
3713,0.31,-0.42,9.99,0.00,-0.05,-0.01,17.00,-11.40,20.15
3860,0.30,-0.47,9.87,-0.00,-0.04,0.00,17.00,-11.40,20.15
4000,0.27,-0.65,9.98,0.04,-0.04,0.00,17.00,-11.40,20.15
4141,0.28,-0.46,10.05,0.02,-0.05,0.00,17.00,-11.40,20.15
4282,0.36,-0.42,9.85,-0.00,-0.04,-0.01,17.00,-11.40,20.15
4422,0.31,-0.54,9.80,0.01,-0.05,-0.01,17.00,-11.40,20.15
4563,0.29,-0.54,9.94,0.01,-0.05,0.00,17.00,-11.40,20.15
4704,0.33,-0.43,9.98,0.00,-0.04,-0.00,17.00,-11.40,20.15
4844,0.30,-0.42,10.00,0.01,-0.04,-0.01,17.00,-11.40,20.15
4985,0.38,-0.35,9.83,-0.01,-0.06,-0.02,17.00,-11.40,20.15
5131,0.27,-0.45,9.97,0.04,-0.04,0.02,17.00,-11.40,20.15
5272,0.21,-0.43,10.11,0.01,-0.05,0.00,17.00,-11.40,20.15
5413,0.30,-0.51,9.97,0.00,-0.06,-0.02,17.00,-11.40,20.15
5553,0.33,-0.48,10.06,0.02,-0.04,-0.01,17.00,-11.40,20.15
5694,0.29,-0.53,9.98,0.00,-0.05,-0.01,17.00,-11.40,20.15
5834,0.34,-0.45,9.98,-0.00,-0.05,-0.02,17.00,-11.40,20.15
5975,0.30,-0.49,9.69,-0.00,-0.07,-0.01,17.00,-11.40,20.15
6116,0.26,-0.50,9.92,0.01,-0.04,-0.01,17.00,-11.40,20.15
6256,0.31,-0.56,9.97,-0.01,-0.03,-0.01,17.00,-11.40,20.15
6403,0.28,-0.58,10.09,0.00,-0.04,-0.01,17.00,-11.40,20.15
6543,0.31,-0.46,9.95,0.05,-0.05,-0.01,17.00,-11.40,20.15
6684,0.32,-0.43,9.73,0.02,-0.03,0.01,17.00,-11.40,20.15
6825,0.23,-0.48,10.11,0.03,-0.06,-0.02,17.00,-11.40,20.15
6965,0.30,-0.55,9.75,0.02,-0.05,-0.02,17.00,-11.40,20.15
7106,0.20,-0.49,9.77,0.04,-0.04,0.02,17.00,-11.40,20.15
7252,0.31,-0.41,9.93,0.01,-0.06,0.01,17.00,-11.40,20.15
7393,0.36,-0.41,10.21,0.04,-0.04,-0.02,17.00,-11.40,20.15
7534,0.28,-0.42,10.27,0.02,-0.02,0.01,17.00,-11.40,20.15
7680,0.34,-0.41,9.91,-0.01,-0.06,-0.01,17.00,-11.40,20.15
7821,0.34,-0.46,10.04,-0.01,-0.02,-0.01,17.00,-11.40,20.15
7961,0.29,-0.43,9.65,0.02,-0.06,-0.00,17.00,-11.40,20.15
8102,0.37,-0.43,9.79,-0.01,-0.07,-0.03,17.00,-11.40,20.15
8243,0.33,-0.34,9.87,0.00,-0.06,0.01,17.00,-11.40,20.15
8389,0.31,-0.42,10.05,0.01,-0.03,0.04,17.00,-11.40,20.15
8530,0.35,-0.56,9.81,0.00,-0.07,-0.02,17.00,-11.40,20.15
8670,0.29,-0.58,9.90,0.02,-0.03,0.01,17.00,-11.40,20.15
8817,0.33,-0.41,9.89,0.00,-0.04,-0.01,17.00,-11.40,20.15
