Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2728,0.24,-0.51,9.86,-0.0,-0.06,-0.01
2870,0.24,-0.51,9.91,0.03,-0.05,-0.01
3010,0.27,-0.52,9.95,0.01,-0.04,-0.0
3151,0.2,-0.57,10.06,0.02,-0.05,-0.02
3291,0.26,-0.43,9.86,0.02,-0.05,-0.0
3432,0.25,-0.48,9.93,-0.0,-0.04,-0.0
3573,0.33,-0.42,10.09,-0.01,-0.05,-0.02
3713,0.31,-0.42,9.99,0.0,-0.05,-0.01
3860,0.3,-0.47,9.87,-0.0,-0.04,0.0
4000,0.27,-0.65,9.98,0.04,-0.04,0.0
4141,0.28,-0.46,10.05,0.02,-0.05,0.0
4282,0.36,-0.42,9.85,-0.0,-0.04,-0.01
4422,0.31,-0.54,9.8,0.01,-0.05,-0.01
4563,0.29,-0.54,9.94,0.01,-0.05,0.0
4704,0.33,-0.43,9.98,0.0,-0.04,-0.0
4844,0.3,-0.42,10.0,0.01,-0.04,-0.01
4985,0.38,-0.35,9.83,-0.01,-0.06,-0.02
5131,0.27,-0.45,9.97,0.04,-0.04,0.02
5272,0.21,-0.43,10.11,0.01,-0.05,0.0
5413,0.3,-0.51,9.97,0.0,-0.06,-0.02
5553,0.33,-0.48,10.06,0.02,-0.04,-0.01
5694,0.29,-0.53,9.98,0.0,-0.05,-0.01
5834,0.34,-0.45,9.98,-0.0,-0.05,-0.02
5975,0.3,-0.49,9.69,-0.0,-0.07,-0.01
6116,0.26,-0.5,9.92,0.01,-0.04,-0.01
6256,0.31,-0.56,9.97,-0.01,-0.03,-0.01
6403,0.28,-0.58,10.09,0.0,-0.04,-0.01
6543,0.31,-0.46,9.95,0.05,-0.05,-0.01
6684,0.32,-0.43,9.73,0.02,-0.03,0.01
6825,0.23,-0.48,10.11,0.03,-0.06,-0.02
6965,0.3,-0.55,9.75,0.02,-0.05,-0.02
7106,0.2,-0.49,9.77,0.04,-0.04,0.02
7252,0.31,-0.41,9.93,0.01,-0.06,0.01
7393,0.36,-0.41,10.21,0.04,-0.04,-0.02
7534,0.28,-0.42,10.27,0.02,-0.02,0.01
7680,0.34,-0.41,9.91,-0.01,-0.06,-0.01
7821,0.34,-0.46,10.04,-0.01,-0.02,-0.01
7961,0.29,-0.43,9.65,0.02,-0.06,-0.0
8102,0.37,-0.43,9.79,-0.01,-0.07,-0.03
8243,0.33,-0.34,9.87,0.0,-0.06,0.01
8389,0.31,-0.42,10.05,0.01,-0.03,0.04
8530,0.35,-0.56,9.81,0.0,-0.07,-0.02
8670,0.29,-0.58,9.9,0.02,-0.03,0.01
8817,0.33,-0.41,9.89,0.0,-0.04,-0.01
8958,0.26,-0.52,10.21,0.02,-0.03,0.01
9098,0.4,-0.51,9.85,-0.0,-0.04,0.01
9239,0.26,-0.51,9.94,0.04,-0.03,0.01
9379,0.38,-0.4,10.1,-0.0,-0.05,0.01
9520,0.29,-0.62,10.0,0.02,-0.05,-0.0
9692,0.34,-0.44,9.86,0.0,-0.05,-0.01
9833,0.39,-0.47,9.81,-0.0,-0.07,-0.04
9973,0.39,-0.4,10.1,0.01,-0.05,-0.02
10120,0.51,-0.23,9.78,0.03,-0.05,0.01
10260,0.41,-0.39,10.05,-0.02,-0.04,-0.02
10401,0.4,-0.43,9.84,-0.02,-0.05,0.0
10541,0.37,-0.49,9.83,0.03,-0.06,0.01
10682,0.33,-0.36,9.92,0.04,-0.04,0.04
10823,0.28,-0.59,10.04,0.04,-0.02,0.06
10963,0.33,-0.35,9.82,0.03,-0.04,0.03
11104,0.36,-0.41,10.13,0.04,-0.02,-0.02
11245,0.39,-0.3,10.06,-0.03,-0.04,-0.01
11391,0.34,-0.34,9.92,0.01,-0.05,-0.0
11532,0.4,-0.29,9.82,-0.02,-0.03,-0.02
11672,0.3,-0.29,9.87,0.04,-0.05,-0.0
11813,0.34,-0.28,9.93,0.0,-0.06,0.0
11954,0.37,-0.36,9.95,-0.01,-0.04,-0.02
12094,0.35,-0.42,9.88,0.02,-0.04,-0.01
12235,0.26,-0.41,9.84,-0.02,-0.03,0.01
12375,0.29,-0.47,9.9,0.01,-0.04,-0.02
12522,0.29,-0.29,9.66,-0.01,-0.05,-0.02
12663,0.31,-0.45,9.92,0.0,-0.04,0.01
12803,0.23,-0.36,9.81,0.05,-0.04,-0.0
12944,0.3,-0.31,9.69,0.01,-0.04,0.01
13084,0.29,-0.25,10.07,0.03,-0.04,-0.01
13225,0.23,-0.35,9.88,0.0,-0.05,-0.01
13366,0.23,-0.43,9.95,0.01,-0.06,-0.01
13506,0.42,-0.24,10.1,0.02,-0.03,-0.01
13647,0.29,-0.22,9.89,-0.02,-0.04,-0.02
13793,0.21,-0.35,9.78,0.02,-0.04,-0.01
13934,0.25,-0.36,9.94,-0.02,-0.06,-0.0
14075,0.27,-0.42,9.9,0.01,-0.06,-0.0
14215,0.22,-0.36,10.03,-0.02,-0.06,-0.02
14356,0.36,-0.46,9.9,0.01,-0.06,0.0
14497,0.33,-0.37,10.09,0.03,-0.03,0.02
14637,0.27,-0.41,9.92,0.03,-0.04,-0.0
14778,0.29,-0.43,9.96,0.01,-0.04,0.0
14918,0.26,-0.44,9.91,-0.02,-0.07,0.0
15065,0.4,-0.35,9.89,0.01,-0.05,-0.01
15206,0.33,-0.44,10.02,0.01,-0.04,0.01
15346,0.31,-0.37,10.19,0.02,-0.0,0.02
15487,0.29,-0.41,9.79,-0.03,-0.06,-0.02
15627,0.32,-0.49,9.86,0.0,-0.05,-0.01
15768,0.21,-0.5,10.04,0.04,-0.04,0.0
15909,0.3,-0.44,10.02,0.0,-0.05,0.01
16049,0.29,-0.32,9.94,0.02,-0.03,0.01
16196,0.34,-0.28,9.96,0.0,-0.06,-0.03
16336,0.37,-0.33,9.96,-0.01,-0.06,-0.01
16477,0.29,-0.37,10.01,-0.0,-0.04,0.01
16618,0.37,-0.4,9.93,-0.01,-0.05,-0.02
16758,0.35,-0.4,10.01,-0.0,-0.04,-0.0
16940,0.3,-0.31,9.93,0.0,-0.03,-0.0
17080,0.29,-0.4,9.89,0.03,-0.03,0.01
17219,0.3,-0.35,10.0,-0.0,-0.04,0.0
17359,0.24,-0.45,9.77,0.01,-0.05,-0.0
17505,0.28,-0.45,10.01,-0.01,-0.04,-0.01
17645,0.32,-0.45,10.0,-0.01,-0.04,-0.0
17785,0.27,-0.46,9.9,0.03,-0.05,0.01
17924,0.23,-0.52,9.93,0.03,-0.03,0.02
18064,0.32,-0.39,9.96,-0.02,-0.05,-0.01
18205,0.28,-0.49,9.89,0.02,-0.04,-0.01
18344,0.25,-0.44,9.99,0.0,-0.05,-0.01
18484,0.35,-0.36,9.97,0.02,-0.05,-0.02
18624,0.29,-0.46,9.88,0.04,-0.1,-0.07
18769,0.42,-0.13,9.9,0.01,-0.11,-0.06
18910,-0.79,-2.1,9.54,0.5,-0.27,-0.44
19049,0.23,1.82,6.32,1.1,0.11,-2.26
19189,-0.75,4.56,6.78,1.88,-0.73,-2.49
19329,-3.29,5.51,6.07,2.19,-0.46,-2.57
19468,-4.2,6.49,5.13,2.24,-0.47,-2.45
19608,-5.76,10.21,5.05,2.13,-0.21,-1.79
19748,-6.42,6.5,2.77,1.42,-0.23,-1.08
19893,-7.09,7.47,3.67,0.55,-0.0,-0.99
