Timestamp,qw,qx,qy,qz,yaw,pitch,roll
2069,0.999964,-0.002905,-0.007412,-0.000354,179.961899,-0.849428,-0.332590
2189,0.999808,-0.003189,-0.018845,-0.003137,179.647171,-2.160703,-0.358854
2309,0.999625,0.009269,-0.025512,-0.002212,179.719116,-2.921313,1.069684
2429,0.999263,0.023453,-0.030239,-0.000466,179.865112,-3.463390,2.693023
2549,0.998647,0.038563,-0.034753,0.000915,179.951050,-3.984213,4.424466
2701,0.997775,0.054522,-0.038121,0.003197,180.127747,-4.382931,6.250513
2881,0.996898,0.066802,-0.041331,0.004001,180.141129,-4.757524,7.661385
3071,0.995823,0.080154,-0.043412,0.004371,180.100433,-5.000330,9.199235
3247,0.994530,0.093991,-0.045114,0.005567,180.149200,-5.208511,10.790812
3429,0.993156,0.106932,-0.046440,0.006437,180.164246,-5.371943,12.282803
3601,0.991628,0.119915,-0.047365,0.006543,180.093018,-5.480464,13.785744
3767,0.990142,0.131821,-0.046877,0.005961,179.968063,-5.416892,15.168148
3894,0.988466,0.143948,-0.046575,0.006103,179.922653,-5.384081,16.574667
4014,0.986766,0.155602,-0.045247,0.005008,179.758453,-5.212789,17.933136
4137,0.985115,0.166146,-0.043795,0.004301,179.650375,-5.032164,19.161589
4257,0.983314,0.177295,-0.040576,0.002430,179.447586,-4.626444,20.463783
4377,0.981573,0.187685,-0.035786,0.000108,179.240570,-4.030876,21.676138
4497,0.980554,0.194042,-0.028925,-0.004017,178.903732,-3.162380,22.417429
4617,0.979672,0.199184,-0.022953,-0.005787,178.825256,-2.445454,23.010036
4737,0.979245,0.201745,-0.017906,-0.007057,178.793411,-1.846419,23.301714
4857,0.979622,0.200250,-0.013234,-0.007531,178.850479,-1.312920,23.119005
4980,0.979049,0.203030,-0.013536,-0.007122,178.885712,-1.353033,23.444258
5100,0.979030,0.203147,-0.013871,-0.005527,179.056702,-1.427643,23.456388
5220,0.978651,0.205061,-0.013171,-0.003264,179.324203,-1.400458,23.676514
5340,0.979100,0.203051,-0.011199,-0.000457,179.688049,-1.245966,23.435652
5460,0.979438,0.201454,-0.010407,0.000180,179.779861,-1.172318,23.247421
5580,0.979224,0.202628,-0.006675,-0.003082,179.499146,-0.677405,23.384920
5700,0.978905,0.204142,-0.000953,-0.007896,179.091980,0.077816,23.558580
5822,0.978414,0.206340,0.001503,-0.010924,178.810623,0.426841,23.812851
5942,0.977444,0.210896,0.001976,-0.010635,178.856476,0.478378,24.346289
6062,0.978320,0.206976,-0.001010,-0.006432,179.254959,0.039277,23.890589
6182,0.978104,0.208044,0.001342,-0.004538,179.523392,0.258548,24.014559
6302,0.978723,0.205148,0.002766,-0.000112,180.052490,0.312882,23.676495
6422,0.978605,0.205671,0.003147,0.003792,180.499405,0.263592,23.738911
6542,0.978819,0.204557,0.004917,0.006143,180.804306,0.407513,23.610594
6665,0.978252,0.207177,0.004262,0.008645,181.070358,0.272488,23.917557
6785,0.978758,0.204545,0.003212,0.013233,181.559723,0.050123,23.608496
6905,0.978854,0.203851,0.002803,0.016545,181.921677,-0.072104,23.526537
7025,0.978792,0.203669,0.000993,0.021810,182.470291,-0.397682,23.500195
7145,0.979340,0.200594,0.001996,0.025367,182.893906,-0.359095,23.141827
7265,0.979159,0.200985,0.001957,0.028995,183.300385,-0.448259,23.186062
7385,0.979380,0.199175,0.000092,0.033688,183.785980,-0.758619,22.965534
7508,0.979199,0.199791,0.003291,0.035114,184.018860,-0.434632,23.048685
7628,0.979001,0.200267,0.003379,0.037820,184.324661,-0.488846,23.103540
7748,0.978996,0.199544,0.002740,0.041641,184.739883,-0.644755,23.014162
7868,0.979194,0.197756,0.003680,0.045274,185.170822,-0.613066,22.807610
7988,0.979599,0.194766,0.004188,0.049246,185.630890,-0.628967,22.458984
8108,0.979009,0.197076,0.006074,0.051555,185.931717,-0.482823,22.738041
8228,0.978278,0.199636,0.007262,0.055295,186.378128,-0.450914,23.042564
8351,0.978346,0.198337,0.007455,0.058639,186.759338,-0.496908,22.890667
8471,0.977983,0.199430,0.007360,0.060952,187.016830,-0.568125,23.016420
8591,0.977521,0.200893,0.008675,0.063340,187.314911,-0.486425,23.195332
8711,0.977963,0.197135,0.008042,0.068214,187.851181,-0.639719,22.749454
8831,0.977577,0.198238,0.008820,0.070419,188.116409,-0.611689,22.883045
8951,0.976793,0.200920,0.009819,0.073498,188.484314,-0.593100,23.202272
9071,0.976879,0.199353,0.010938,0.076406,188.838287,-0.521024,23.027653
9193,0.976609,0.199849,0.010546,0.078591,189.075195,-0.619641,23.080841
9313,0.976232,0.199990,0.010654,0.082789,189.550491,-0.705451,23.095684
9433,0.976263,0.198027,0.011241,0.086957,190.035141,-0.715703,22.869780
9553,0.976186,0.196661,0.013591,0.090512,190.490128,-0.519384,22.732681
9691,0.975569,0.197821,0.012948,0.094642,190.940887,-0.697983,22.858387
9818,0.975850,0.194994,0.013666,0.097462,191.277359,-0.649570,22.535685
9938,0.976005,0.194827,0.016965,0.095706,191.153137,-0.239244,22.554089
10061,0.975294,0.197467,0.016823,0.097553,191.357635,-0.327275,22.859079
10181,0.975256,0.195380,0.014784,0.102346,191.853943,-0.639250,22.590469
10301,0.974830,0.193845,0.012910,0.109339,192.603989,-0.986616,22.383923
10421,0.974839,0.190379,0.015186,0.114914,193.288300,-0.810613,22.006086
10541,0.975002,0.185886,0.015475,0.120706,193.954788,-0.842158,21.484806
10661,0.974225,0.187647,0.019649,0.123611,194.372971,-0.464417,21.745853
10781,0.973987,0.185987,0.019589,0.127930,194.862579,-0.540199,21.550863
10903,0.974073,0.184897,0.022866,0.128310,194.976501,-0.166235,21.473810
11023,0.975049,0.178459,0.022233,0.130110,195.168854,-0.176564,20.719872
11143,0.974454,0.179896,0.024422,0.132180,195.449799,0.002173,20.919632
11263,0.975972,0.172422,0.023723,0.131063,195.308060,0.063615,20.046120
11383,0.975538,0.175816,0.021192,0.130217,195.160187,-0.254497,20.398888
11503,0.975011,0.179899,0.022268,0.128394,194.974213,-0.158852,20.887030
11623,0.974933,0.180896,0.021772,0.127676,194.882004,-0.214290,20.994865
11743,0.974737,0.181195,0.021572,0.128774,195.002563,-0.264265,21.026205
11864,0.973858,0.182871,0.022279,0.132867,195.482208,-0.298055,21.229626
11984,0.973887,0.179199,0.022592,0.137527,196.020004,-0.302890,20.809280
12104,0.973966,0.174319,0.023328,0.143005,196.660507,-0.253033,20.257389
12224,0.973608,0.174457,0.024180,0.145115,196.918365,-0.203380,20.287189
12344,0.972655,0.176145,0.023495,0.149517,197.406052,-0.399306,20.468401
12464,0.971512,0.179336,0.024489,0.152956,197.817734,-0.416973,20.851973
12584,0.970913,0.178251,0.025022,0.157864,198.389450,-0.440615,20.734865
12707,0.970554,0.177116,0.027508,0.160902,198.788483,-0.206322,20.649895
12827,0.969968,0.176865,0.028321,0.164531,199.220261,-0.186704,20.635881
12947,0.968717,0.179353,0.026961,0.169364,199.743820,-0.487961,20.893356
13067,0.968333,0.176100,0.027883,0.174739,200.379807,-0.432208,20.536356
