Timestamp,qw,qx,qy,qz,heading,pitch,roll
197,0.999889,0.002836,-0.014311,-0.000955,179.885910,-1.639604,0.326606
317,0.999557,0.004716,-0.029059,-0.003258,179.610504,-3.328608,0.551948
437,0.998990,0.005542,-0.044272,-0.004467,179.458359,-5.071857,0.659735
557,0.998233,0.007462,-0.058663,-0.004984,179.375366,-6.721567,0.893251
677,0.997330,0.009767,-0.072162,-0.004735,179.371521,-8.270424,1.167601
797,0.996214,0.010813,-0.086088,-0.004564,179.362885,-9.870670,1.298733
917,0.994821,0.011752,-0.100768,-0.005594,179.210510,-11.558039,1.433507
1039,0.993283,0.012662,-0.114691,-0.008150,178.876373,-13.157839,1.590249
1159,0.991653,0.016658,-0.127321,-0.011294,178.422440,-14.604208,2.126860
1279,0.991074,0.016441,-0.131207,-0.016686,177.781250,-15.041812,2.193700
1399,0.990860,0.012748,-0.132322,-0.022740,177.123337,-15.167666,1.857312
1519,0.990393,0.013194,-0.134431,-0.029445,176.320511,-15.396750,2.023995
1640,0.990337,0.015276,-0.132569,-0.037632,175.329895,-15.154674,2.388987
1761,0.989716,0.013507,-0.134997,-0.045247,174.451157,-15.426110,2.315835
1884,0.989725,0.011258,-0.132705,-0.051943,173.706528,-15.159918,2.141709
2005,0.989118,0.012035,-0.133215,-0.061198,172.601486,-15.192236,2.382208
2126,0.986075,0.030840,-0.150968,-0.062486,172.029236,-17.090290,4.782328
2247,0.965189,0.126932,-0.228637,0.004005,176.784042,-26.255308,15.734027
2367,0.873229,0.275167,-0.370878,0.155546,185.701950,-47.165920,32.489613
2487,0.798392,0.330333,-0.446483,0.232584,188.808243,-60.065525,39.854851
2608,0.750908,0.351544,-0.484039,0.279736,192.014664,-67.460602,42.134613
2731,0.708225,0.365813,-0.506093,0.329332,199.558151,-73.296165,40.018715
2852,0.670421,0.353033,-0.536971,0.370885,218.563705,-79.071220,23.325033
2973,0.637032,0.327506,-0.569558,0.403144,259.458466,-81.776581,-17.066780
3094,0.598460,0.333571,-0.580803,0.439586,293.791199,-81.279694,-47.291908
3215,0.561442,0.357356,-0.583181,0.465802,317.054962,-81.025673,-65.610451
3336,0.548028,0.355808,-0.587900,0.476897,324.467743,-79.653404,-71.979309
3457,0.543585,0.358399,-0.600653,0.463974,334.097168,-80.261063,-82.685387
3579,0.547946,0.316435,-0.627555,0.453642,333.350616,-77.117096,-86.891327
3699,0.576519,0.250438,-0.656121,0.417615,323.916809,-74.951599,-87.003410
3819,0.543533,0.375857,-0.575586,0.481659,324.313354,-81.029961,-69.390480
3940,0.574328,0.301504,-0.616892,0.445733,318.540100,-77.789650,-74.340378
4061,0.596516,0.263316,-0.627228,0.425921,310.083130,-76.558495,-71.304649
4182,0.562096,0.338363,-0.592912,0.466911,318.363129,-79.270531,-68.593826
4303,0.603085,0.216933,-0.665851,0.381919,316.090973,-75.657364,-85.562027
4426,0.597090,0.236380,-0.652181,0.402815,315.410400,-75.755798,-81.216347
4547,0.556709,0.332282,-0.608834,0.457140,326.767517,-79.017319,-78.546799
4668,0.598225,0.238030,-0.658882,0.389018,318.395630,-76.783920,-85.374641
4789,0.578721,0.278248,-0.629296,0.437765,318.245667,-76.406525,-76.933083
4909,0.550585,0.343259,-0.597569,0.471097,325.525482,-78.944290,-74.830299
5029,0.604597,0.232569,-0.660513,0.379591,316.642914,-77.225906,-84.999481
5151,0.523495,0.359414,-0.597011,0.490249,336.503265,-77.814514,-82.156876
5272,0.558330,0.315395,-0.622926,0.448050,328.837158,-78.020294,-83.086967
5393,0.506887,0.380378,-0.577713,0.514410,337.374542,-77.690697,-78.328377
5514,0.532004,0.377597,-0.563434,0.506879,322.580627,-79.200798,-64.743797
5635,0.617198,0.224040,-0.647670,0.386508,306.387543,-76.573074,-74.854256
5756,0.592525,0.276526,-0.622514,0.430018,311.231445,-77.299431,-70.875122
5877,0.570815,0.330906,-0.599934,0.452484,317.255005,-79.854080,-69.678452
6000,0.630377,0.210628,-0.660401,0.349461,305.657776,-78.468636,-78.743805
6120,0.572917,0.330907,-0.603728,0.444714,318.538605,-80.432457,-71.753632
6240,0.586015,0.305296,-0.631228,0.406108,324.457214,-81.035202,-83.848602
6360,0.611732,0.234314,-0.651646,0.382401,311.101990,-77.545731,-79.062996
6481,0.568120,0.321426,-0.605291,0.455565,318.997864,-78.700417,-71.974892
6602,0.621685,0.205112,-0.676262,0.337783,315.057465,-78.353447,-89.660408
6723,0.633447,0.174270,-0.687442,0.309500,311.879120,-78.177948,-91.648369
6846,0.575110,0.332798,-0.619515,0.417955,329.684479,-82.208549,-85.388771
6967,0.571408,0.330179,-0.634505,0.402331,342.444031,-82.223930,-99.889954
7088,0.660246,0.100219,-0.708496,0.228158,304.152008,-78.900833,-97.169708
7209,0.681326,-0.028199,-0.717929,0.139891,286.846771,-76.024185,-97.719070
7330,0.687126,-0.052884,-0.716381,0.108861,282.534363,-76.649147,-97.966347
7450,0.688505,-0.054020,-0.714272,0.113354,281.171875,-76.243172,-96.327782
7570,0.687145,0.036047,-0.700921,0.187709,284.345245,-77.634148,-86.030586
7693,0.623454,0.256581,-0.659496,0.332457,320.066620,-83.185402,-90.742683
7819,0.550528,0.361499,-0.615353,0.433093,346.434265,-82.164413,-97.879738
7940,0.502279,0.409624,-0.581532,0.491667,353.755280,-80.743813,-94.259018
8061,0.508969,0.405344,-0.580859,0.489122,350.009216,-81.042572,-91.252350
8182,0.591887,0.308306,-0.637560,0.384871,330.229889,-82.767357,-91.398201
8303,0.667630,0.130159,-0.694206,0.235370,299.198059,-81.195404,-89.148529
8424,0.680356,0.041234,-0.715623,0.152612,295.472900,-80.519829,-99.661598
8547,0.681698,-0.031853,-0.724086,0.099823,290.609467,-78.770912,-105.073135
8668,0.684841,0.011941,-0.712324,0.153086,287.752411,-78.325836,-94.279724
8789,0.676724,0.030866,-0.716745,0.165412,294.580811,-78.604736,-98.545242
8909,0.675686,0.035053,-0.716052,0.171700,294.904724,-78.432663,-98.004715
9029,0.678377,0.042188,-0.714604,0.165401,294.858490,-79.576683,-97.906052
9150,0.682805,0.046308,-0.711226,0.160569,292.406677,-80.445496,-95.524048
9273,0.682284,0.054748,-0.709089,0.169342,292.312256,-80.450050,-94.013412
9394,0.681616,0.044032,-0.709840,0.171984,291.260956,-79.365051,-93.611855
9515,0.679267,0.022864,-0.710619,0.181895,289.531250,-76.834831,-92.769974
9636,0.677815,0.050131,-0.716469,0.157216,298.303925,-80.762108,-101.386436
9757,0.679904,0.046951,-0.713201,0.163898,294.496704,-80.132317,-97.283516
9878,0.672508,0.016346,-0.717245,0.181705,293.247131,-76.083389,-97.026009
9999,0.668383,0.045435,-0.725307,0.158497,305.047028,-79.726639,-108.397148
10121,0.666524,0.019592,-0.720180,0.191556,295.984741,-75.361809,-98.669235
10241,0.662413,0.017994,-0.725712,0.184983,299.077087,-75.488960,-102.438820
10361,0.661378,0.044828,-0.730963,0.162034,309.146240,-78.935646,-112.244438
10482,0.653216,0.012830,-0.727213,0.210466,299.713470,-72.834389,-101.336365
10603,0.647405,0.016107,-0.736017,0.197173,304.839264,-73.608185,-107.310623
10724,0.648705,0.044166,-0.738549,0.178239,312.933075,-76.891922,-114.716331
10845,0.646623,0.001456,-0.735736,0.201397,302.369354,-72.189621,-105.672699
10968,0.643123,0.018732,-0.744219,0.179363,310.309967,-74.572701,-114.057297
11089,0.642516,0.045370,-0.746879,0.165163,319.677032,-77.096939,-122.443794
11210,0.640112,-0.000450,-0.743005,0.195426,305.735565,-71.996315,-109.687286
11331,0.642155,0.007146,-0.746358,0.174719,309.335236,-73.956551,-114.410942
11451,0.653873,0.034030,-0.737050,0.167451,310.180786,-77.231728,-113.695999
11571,0.650353,0.006572,-0.734472,0.193750,302.429047,-73.311478,-105.966797
11692,0.657825,0.000632,-0.728766,0.190153,298.354584,-73.544647,-102.685867
11815,0.654098,0.032139,-0.734984,0.175821,307.890289,-76.607079,-110.860909
11936,0.658397,0.007435,-0.729217,0.186256,299.550232,-74.365219,-103.657387
12057,0.658965,-0.016166,-0.731995,0.172274,297.585785,-73.566422,-104.778610
12178,0.662446,0.004047,-0.734247,0.148397,302.673218,-76.905907,-110.215096
12299,0.662777,-0.028836,-0.726814,0.177842,293.333893,-72.396988,-101.092873
12420,0.661186,-0.015446,-0.733417,0.157116,298.512329,-74.795746,-106.911278
12543,0.663345,-0.017410,-0.729765,0.164636,296.075958,-74.246559,-104.010399
12664,0.661990,-0.034126,-0.728995,0.170771,293.717529,-72.462379,-102.496460
12784,0.660906,-0.011307,-0.736608,0.143096,301.503601,-76.029510,-110.729050
12904,0.662255,-0.026055,-0.728939,0.171404,294.623230,-73.049004,-102.694168
13025,0.659921,-0.022153,-0.732513,0.165620,297.017059,-73.630356,-105.251740
13146,0.663047,-0.006099,-0.731045,0.160924,298.487427,-75.346001,-105.812904
