Timestamp,qw,qx,qy,qz,heading,pitch,roll
186,0.999881,-0.002709,-0.014724,-0.002460,179.722641,-1.688055,-0.306342
306,0.999538,-0.005764,-0.029462,-0.003772,179.586685,-3.379016,-0.648550
426,0.999023,-0.009351,-0.042938,-0.003649,179.626892,-4.925534,-1.056526
546,0.998382,-0.015762,-0.054349,-0.004786,179.547943,-6.238832,-1.784350
666,0.997766,-0.024311,-0.061443,-0.009358,179.094345,-7.069067,-2.735531
786,0.997630,-0.023642,-0.062204,-0.017247,178.182312,-7.176694,-2.601107
906,0.997662,-0.018841,-0.060678,-0.024996,177.251846,-7.008322,-1.995526
1026,0.997431,-0.022034,-0.061175,-0.029919,176.707870,-7.085745,-2.327131
1146,0.997136,-0.029477,-0.061303,-0.032926,176.414764,-7.134375,-3.162905
1266,0.997158,-0.024168,-0.060187,-0.038215,175.764648,-7.000528,-2.517598
1386,0.996754,-0.021447,-0.061637,-0.047055,174.728195,-7.174590,-2.134567
1506,0.996468,-0.022786,-0.060550,-0.053463,173.996735,-7.071602,-2.248565
1627,0.995949,-0.024169,-0.060826,-0.061590,173.069000,-7.130935,-2.347868
1747,0.995625,-0.020944,-0.061225,-0.067348,172.381409,-7.165435,-1.932426
1867,0.995092,-0.026219,-0.060410,-0.073804,171.672226,-7.128614,-2.498955
1987,0.994400,-0.024648,-0.060887,-0.082736,170.629150,-7.190662,-2.249605
2107,0.993941,-0.024492,-0.058315,-0.089851,169.802490,-6.910826,-2.205667
2227,0.993128,-0.029358,-0.059041,-0.096648,169.050537,-7.062079,-2.708702
2347,0.992477,-0.013679,-0.064355,-0.103212,168.178406,-7.502298,-0.801469
2468,0.990992,0.015438,-0.077422,-0.108133,167.338409,-8.633341,2.744593
2588,0.988769,-0.045537,-0.082961,-0.115634,167.022720,-10.054743,-4.127119
2708,0.989613,0.064828,-0.074422,-0.104477,167.385208,-7.686484,8.346771
2828,0.989725,0.006633,-0.085581,-0.114314,166.662384,-9.665017,1.900625
2948,0.987164,-0.076335,-0.076908,-0.117286,167.111359,-9.773151,-7.736858
3068,0.986548,0.082058,-0.083597,-0.113987,166.041473,-8.408990,10.540645
3188,0.986841,0.049849,-0.092875,-0.122577,165.229568,-9.850960,7.063477
3309,0.980701,-0.126183,-0.077783,-0.127454,166.444107,-10.645325,-13.394497
3429,0.989178,-0.039523,-0.069339,-0.123082,166.076340,-8.447697,-3.542697
3549,0.985667,0.075251,-0.077685,-0.129439,164.378815,-7.681228,9.786758
3669,0.984366,-0.085939,-0.072237,-0.135691,165.031525,-9.528436,-8.724301
3789,0.986742,-0.064801,-0.063602,-0.134488,164.939713,-8.218414,-6.426368
3909,0.984940,0.071306,-0.077050,-0.137344,163.499008,-7.596293,9.384598
4029,0.982128,-0.095867,-0.067126,-0.147376,163.726089,-9.213238,-9.829976
4150,0.987053,-0.075919,-0.058119,-0.128751,165.665298,-7.717145,-7.824560
4270,0.987397,0.055406,-0.070245,-0.130513,164.478821,-7.137892,7.397356
4390,0.986759,-0.014534,-0.073899,-0.143614,163.471207,-8.627863,-0.432158
4510,0.987034,-0.030520,-0.068459,-0.141907,163.808243,-8.268111,-2.363946
4630,0.984236,0.055019,-0.072196,-0.151760,161.993713,-7.204753,7.542025
4750,0.980756,-0.082195,-0.066038,-0.164290,161.621826,-9.006244,-8.121346
4870,0.985464,0.001905,-0.065282,-0.156805,161.828125,-7.358042,1.399868
4990,0.980054,0.090258,-0.079000,-0.158423,160.888596,-7.253006,11.746093
5110,0.975955,-0.126697,-0.060020,-0.166879,161.666519,-9.174423,-13.309646
5230,0.940239,-0.294391,-0.035972,-0.167278,162.691483,-9.563202,-33.311722
5350,0.891689,-0.422794,-0.012774,-0.161137,163.731979,-9.150966,-49.424835
5470,0.889034,-0.431383,-0.015949,-0.152528,164.882309,-9.204201,-50.543430
5590,0.935588,-0.313252,-0.053162,-0.153992,164.937210,-11.300292,-35.523922
5711,0.974802,-0.133624,-0.084581,-0.157299,163.121002,-11.942882,-13.832249
5831,0.982703,-0.029300,-0.090882,-0.158648,161.817734,-10.831182,-1.677341
5951,0.979768,0.082763,-0.105782,-0.148349,161.730698,-10.528644,11.354414
6071,0.966460,0.169627,-0.122657,-0.148759,160.425247,-10.755504,21.770123
6191,0.943413,0.265476,-0.139402,-0.141611,159.671936,-10.826681,33.379517
6311,0.883625,0.420719,-0.164000,-0.123682,158.722275,-10.705282,52.937191
6436,0.832370,0.507394,-0.183204,-0.127041,156.189697,-10.140807,64.874016
6557,0.783131,0.580446,-0.188504,-0.119353,155.742020,-9.014832,75.031418
6677,0.772088,0.593369,-0.192262,-0.121743,155.097458,-8.766534,77.025200
6797,0.786592,0.569359,-0.196565,-0.135854,153.712509,-8.889731,73.875648
6917,0.893812,0.355054,-0.194479,-0.192888,150.396103,-12.162389,46.554352
7037,0.948613,0.155340,-0.168725,-0.218003,151.209229,-14.618363,22.370962
7157,0.958210,0.066602,-0.146969,-0.236198,150.807571,-14.488793,11.743978
7277,0.960239,-0.005153,-0.119113,-0.252425,150.196045,-13.376889,2.960013
7399,0.958660,-0.063412,-0.093279,-0.261228,149.973587,-12.238207,-4.274889
7519,0.950512,-0.149929,-0.061622,-0.265032,150.329056,-11.339158,-14.914608
7639,0.935635,-0.231076,-0.032203,-0.264849,150.728485,-10.524837,-24.989670
7759,0.895774,-0.362051,0.011905,-0.257599,151.531723,-9.508872,-41.597172
7879,0.854872,-0.450833,0.042380,-0.253258,151.506958,-8.968690,-53.329601
7999,0.810750,-0.525838,0.065700,-0.248702,151.435623,-8.917996,-63.658443
8119,0.766925,-0.592553,0.087717,-0.230226,152.514633,-7.949317,-73.434303
8239,0.803096,-0.546988,0.060083,-0.228522,154.025589,-8.829402,-66.476746
8359,0.889372,-0.382636,-0.006880,-0.250102,153.319794,-11.749552,-43.761959
8479,0.941676,-0.209320,-0.062182,-0.256038,152.088577,-12.961661,-21.830154
8599,0.959126,-0.129857,-0.068699,-0.241838,152.950653,-11.220859,-12.713599
8719,0.962637,-0.111594,-0.076099,-0.234684,153.659058,-11.472099,-10.531847
8839,0.966223,-0.091300,-0.083983,-0.225866,154.523422,-11.743765,-8.132153
8960,0.964487,-0.093994,-0.089032,-0.230205,154.051819,-12.416541,-8.260975
9080,0.970939,-0.061002,-0.090287,-0.213064,155.723053,-11.614193,-4.683793
9200,0.965552,-0.060192,-0.096005,-0.234222,153.181747,-12.332995,-4.183267
9320,0.976475,-0.050051,-0.088487,-0.190140,158.325348,-11.060455,-3.744687
9440,0.968389,-0.036261,-0.099129,-0.225994,153.885010,-12.027425,-1.489523
9560,0.977706,-0.025575,-0.106046,-0.179394,159.282608,-12.505904,-0.702025
9680,0.973689,-0.008375,-0.111142,-0.198740,156.745712,-12.695224,1.636979
9818,0.972105,-0.016615,-0.111871,-0.205456,156.041092,-12.963404,0.803513
9938,0.977426,-0.008585,-0.110676,-0.179742,159.010345,-12.676177,1.351019
10058,0.973469,-0.014312,-0.115076,-0.197238,156.972321,-13.278936,1.032086
10178,0.980741,-0.016240,-0.107019,-0.162546,161.160278,-12.426953,0.172323
10298,0.970889,-0.002539,-0.112345,-0.211515,155.142029,-12.663460,2.502151
10418,0.977653,-0.003015,-0.114019,-0.176567,159.295975,-12.944462,2.020948
10538,0.967492,0.017225,-0.113462,-0.225345,153.246033,-12.226894,4.958025
10659,0.978577,0.013167,-0.118045,-0.168138,160.058914,-13.097235,3.853999
10779,0.972848,0.025869,-0.117763,-0.197535,156.412888,-12.645115,5.696946
10899,0.977289,0.025052,-0.118711,-0.173718,159.240479,-12.904500,5.310225
11019,0.977797,0.031606,-0.118342,-0.170000,159.602844,-12.749162,6.005571
11139,0.970185,0.031759,-0.107970,-0.214631,154.425552,-11.295459,6.321356
11259,0.977903,0.031346,-0.108642,-0.175814,159.021942,-11.622406,5.830777
11379,0.972118,0.019914,-0.111070,-0.205538,155.603409,-11.991066,4.948341
