Timestamp,qw,qx,qy,qz,yaw,pitch,roll
362,0.999799,-0.008376,-0.004647,0.017343,181.991928,-0.515712,-0.968935
484,0.999487,0.004634,-0.018588,0.025513,182.915527,-2.143010,0.476736
606,0.998245,-0.042490,-0.026955,-0.031071,176.569519,-3.236411,-4.777578
728,0.998675,-0.033221,-0.039063,0.003099,180.504944,-4.463052,-3.830129
850,0.996333,-0.052178,-0.045455,-0.050237,174.502472,-5.498496,-5.731484
972,0.998659,-0.021701,-0.039506,0.025291,183.002914,-4.462651,-2.606699
1094,0.997743,-0.048130,-0.038212,-0.026912,177.123672,-4.522023,-5.409850
1220,0.997613,-0.048657,-0.048381,0.007169,181.094391,-5.499303,-5.637166
1342,0.996704,-0.025522,-0.074885,0.017691,182.265274,-8.532677,-3.102602
1464,0.995751,-0.022841,-0.088767,0.008396,181.209473,-10.159925,-2.735565
1586,0.993949,-0.042088,-0.091238,-0.044281,175.310318,-10.666920,-4.411249
1708,0.995828,-0.029458,-0.086110,0.005939,180.982895,-9.854796,-3.473459
1829,0.992103,-0.052277,-0.073182,-0.087372,170.344574,-8.878690,-5.281138
1950,0.997295,-0.011911,-0.071978,-0.008396,179.129715,-8.265828,-1.305624
2072,0.994710,-0.038976,-0.065750,-0.068565,172.385117,-7.825078,-3.966107
2193,0.997009,-0.020436,-0.071262,-0.021665,177.667114,-8.220475,-2.180858
2314,0.996915,-0.016607,-0.076482,-0.005096,179.558182,-8.781212,-1.874747
2435,0.995204,-0.032801,-0.080390,-0.044958,175.103775,-9.378614,-3.373538
2556,0.996224,-0.019850,-0.084469,-0.000301,180.160095,-9.689664,-2.296519
2677,0.995205,-0.017827,-0.096112,-0.001951,179.973343,-11.032899,-2.049849
2798,0.993873,-0.047176,-0.088902,-0.045600,175.202499,-10.429012,-4.997117
2921,0.994546,-0.010958,-0.101075,0.023092,182.816971,-11.568611,-1.547977
3043,0.994667,-0.032466,-0.093611,-0.028512,177.044479,-10.840402,-3.458396
3164,0.994630,-0.015852,-0.101680,0.010635,181.426407,-11.649870,-1.971641
3284,0.993910,-0.007679,-0.109880,0.001221,180.241592,-12.615293,-0.911967
3404,0.993712,-0.021707,-0.107500,-0.022371,177.664886,-12.393167,-2.249225
3525,0.991787,0.007047,-0.122847,0.034772,183.976120,-14.132596,0.321130
3648,0.993177,-0.012578,-0.114320,-0.019041,177.943390,-13.153463,-1.214046
3769,0.990055,0.017281,-0.130492,0.049549,185.562912,-15.076026,1.263207
3890,0.992195,-0.009436,-0.123377,-0.015157,178.359848,-14.188611,-0.885577
4011,0.989486,0.011554,-0.136178,0.047234,185.383865,-15.698970,0.595266
4132,0.992000,-0.006941,-0.126004,-0.001193,179.963486,-14.478004,-0.797082
4253,0.991325,-0.003842,-0.129834,0.019863,182.394882,-14.907665,-0.757439
4374,0.990866,0.002715,-0.134416,0.010011,181.135971,-15.451985,0.159839
4496,0.991763,-0.013732,-0.126408,-0.015189,178.421906,-14.545624,-1.385080
