timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Unnamed: 10
3.49,0.001019367991845056,0.10295616717635066,1.003058103975535,0.01,-0.05,-0.04,31.98,-27.95,-45.81,
3.65,0.015290519877675839,0.13047910295616716,0.9663608562691132,-0.04,-0.05,-0.06,32.14,-27.58,-47.81,
3.82,-0.013251783893985729,0.11111111111111112,1.0295616717635065,-0.02,-0.03,-0.11,32.94,-27.71,-46.42,
3.98,0.035677879714576956,0.11111111111111112,1.0101936799184505,-0.06,-0.18,-0.18,31.99,-27.17,-46.0,
4.14,0.02854230377166157,0.09174311926605504,0.9796126401630988,0.13,0.01,-0.22,32.43,-27.07,-46.99,
4.31,0.004077471967380224,0.10397553516819572,1.016309887869521,-0.13,0.09,-0.55,32.9,-26.19,-46.27,
4.47,-0.05402650356778797,0.08970438328236494,1.0254841997961264,-0.09,-0.11,-0.31,33.21,-24.6,-46.9,
4.64,-0.03873598369011213,0.06829765545361875,1.0112130479102956,-0.21,0.34,0.02,35.34,-23.98,-45.44,
4.81,-0.06625891946992864,0.1019367991845056,0.9449541284403669,0.07,0.1,0.23,35.93,-24.2,-46.71,
4.97,-0.07441386340468908,0.08970438328236494,0.9398572884811417,-0.36,0.51,0.01,37.4,-22.81,-45.56,
5.13,-0.13047910295616716,0.07951070336391437,0.9418960244648318,0.09,0.11,0.07,39.18,-25.21,-43.34,
5.3,-0.1916411824668705,0.07747196738022426,0.9612640163098878,0.1,0.18,-0.33,40.53,-25.08,-42.97,
5.46,-0.20489296636085624,0.0050968399592252805,0.981651376146789,0.55,-0.53,0.15,39.48,-22.96,-44.18,
5.62,-0.061162079510703356,0.12436289500509683,0.9765545361875637,-0.35,-0.31,0.07,36.54,-25.45,-44.5,
5.79,-0.07543323139653414,0.1019367991845056,1.039755351681957,0.06,0.03,-0.03,36.1,-25.53,-45.1,
5.96,-0.04485219164118247,0.10295616717635066,1.017329255861366,0.1,-0.26,0.19,35.53,-25.84,-46.19,
6.12,-0.012232415902140671,0.07951070336391437,0.9531090723751273,-0.05,-0.22,0.12,33.41,-25.52,-46.52,
6.28,-0.008154943934760447,0.05912334352701325,0.9653414882772681,-0.17,-0.26,-0.21,32.2,-24.0,-46.29,
6.44,-0.029561671763506624,0.06422018348623854,1.017329255861366,0.19,0.01,0.11,32.87,-22.61,-45.47,
6.61,0.017329255861365953,0.17329255861365953,1.021406727828746,-0.03,-0.17,-0.07,32.67,-22.62,-44.87,
6.77,0.039755351681957186,0.012232415902140671,1.0275229357798166,0.11,-0.19,0.03,31.86,-22.77,-43.88,
6.94,0.03771661569826707,0.016309887869520895,1.0112130479102956,0.01,-0.16,-0.01,31.91,-21.59,-43.85,
7.1,0.05912334352701325,0.046890927624872576,0.9908256880733946,-0.18,0.01,0.1,31.29,-21.34,-42.78,
7.26,0.035677879714576956,0.03669724770642201,0.9898063200815495,0.19,-0.09,0.07,31.88,-21.89,-41.99,
7.43,0.034658511722731905,0.06829765545361875,1.016309887869521,-0.05,-0.09,-0.04,31.53,-22.65,-40.57,
7.59,0.08970438328236494,0.12436289500509683,0.9969418960244647,0.58,0.08,-0.25,30.27,-23.75,-41.38,
7.75,0.06523955147808358,0.10499490316004077,0.9785932721712537,-0.0,-0.03,-0.24,30.66,-24.25,-41.84,
7.91,0.05810397553516819,0.02854230377166157,0.9643221202854231,-0.02,-0.12,-0.4,31.92,-22.73,-40.81,
8.09,0.0254841997961264,0.0856269113149847,1.0091743119266054,-0.14,0.15,0.19,33.69,-21.91,-39.24,
8.25,-0.008154943934760447,0.08664627930682976,1.0611620795107033,-0.41,0.18,0.1,34.93,-20.27,-38.98,
8.41,-0.04994903160040774,-0.05504587155963303,1.057084607543323,-0.26,0.22,0.3,36.7,-17.41,-37.58,
8.57,0.006116207951070336,-0.09378185524974515,0.9500509683995922,0.28,-0.16,0.01,37.01,-17.76,-36.23,
8.74,-0.004077471967380224,-0.0672782874617737,0.9918450560652395,0.06,0.0,0.25,38.37,-19.1,-35.22,
8.9,-0.014271151885830785,0.0,1.0142711518858307,0.04,0.07,0.04,38.61,-20.8,-34.9,
9.06,-0.026503567787971458,-0.026503567787971458,0.998980632008155,-0.08,0.02,0.18,38.83,-20.97,-34.26,
9.23,0.0050968399592252805,-0.04587155963302752,0.9704383282364932,0.02,-0.13,0.02,38.57,-21.6,-34.46,
9.4,-0.03669724770642201,-0.06523955147808358,1.0275229357798166,-0.09,-0.03,0.18,39.02,-22.11,-34.3,
9.56,-0.02854230377166157,-0.027522935779816515,1.003058103975535,0.18,0.07,0.05,39.26,-23.28,-34.0,
9.72,-0.06523955147808358,-0.03261977573904179,1.0142711518858307,0.04,-0.09,0.05,39.9,-23.55,-33.13,
9.88,-0.06218144750254841,-0.019367991845056064,1.0295616717635065,0.18,-0.35,-0.07,39.3,-23.88,-32.68,
10.04,0.014271151885830785,-0.004077471967380224,0.9928644240570845,0.07,-0.23,0.1,38.31,-24.67,-32.78,
10.21,0.06320081549439348,0.012232415902140671,0.9847094801223242,0.11,-0.33,0.01,36.93,-25.39,-33.67,
10.38,0.02854230377166157,0.026503567787971458,1.0285423037716614,0.03,0.05,0.06,36.52,-25.65,-31.83,
10.54,0.048929663608562685,0.024464831804281342,1.0112130479102956,0.05,0.1,0.06,37.37,-26.48,-30.77,
10.7,0.03873598369011213,0.009174311926605503,1.0091743119266054,-0.16,0.16,0.11,37.47,-26.37,-29.82,
10.87,0.027522935779816515,-0.04791029561671763,1.038735983690112,-0.47,-0.21,0.09,37.34,-25.14,-29.0,
11.03,0.04383282364933741,-0.06320081549439348,1.0499490316004079,-0.23,0.04,0.11,37.14,-24.14,-30.12,
11.19,-0.03873598369011213,-0.03873598369011213,1.055045871559633,0.1,0.32,0.39,36.52,-23.79,-28.56,
11.35,-0.11111111111111112,-0.12130479102956165,1.0316004077471965,0.27,0.08,0.13,37.23,-21.81,-27.86,
11.52,-0.020387359836901122,-0.022426095820591234,0.9806320081549438,0.47,-0.19,0.2,35.56,-22.52,-27.65,
11.69,0.008154943934760447,-0.060142711518858305,1.0101936799184505,-0.44,0.18,0.02,35.0,-21.15,-28.24,
11.85,-0.09887869520897043,-0.0764525993883792,1.0509683995922527,-0.18,0.19,0.08,35.9,-18.46,-29.68,
12.01,-0.05198776758409786,-0.14882772680937817,1.0050968399592253,-0.02,-0.29,-0.16,34.92,-17.0,-31.56,
12.17,-0.05402650356778797,-0.09378185524974515,1.020387359836901,0.31,-0.08,0.26,33.21,-16.24,-35.24,
