Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,label
2784.968,0.156,-0.287,9.912,0.034,-0.067,0.016,1
2921.971,0.356,-0.363,9.84,0.059,-0.057,-0.117,1
3060.031,0.139,-0.2,10.169,-0.025,-0.054,-0.031,1
3198.001,0.192,-0.135,10.506,-0.034,0.07,-0.026,1
3334.981,0.079,-0.445,10.049,-0.072,-0.077,-0.004,1
3473.028,0.236,-0.581,9.632,0.021,-0.049,-0.043,1
3610.984,-0.086,-0.529,9.77,-0.091,-0.081,-0.025,1
3749.033,0.294,-0.249,10.482,0.013,-0.063,-0.019,1
3892.98,0.029,-0.462,9.646,0.077,-0.069,-0.006,1
4030.971,0.314,-0.47,9.882,0.087,-0.106,0.015,1
4168.007,0.393,-0.141,9.336,0.007,0.086,0.086,1
4304.971,0.329,-0.321,9.882,0.024,-0.097,0.055,1
4441.971,0.208,-0.378,10.064,-0.037,-0.019,0.054,1
4579.006,0.231,-0.422,9.868,-0.053,-0.049,0.032,1
4714.002,0.291,-0.515,9.957,0.141,-0.021,-0.041,1
4849.977,0.093,-0.446,9.921,0.016,-0.035,0.045,1
4986.019,0.102,-0.534,9.733,0.093,-0.072,0.026,1
5125.992,-0.018,-0.295,10.06,0.137,0.013,0.045,1
5261.989,0.071,-0.111,9.877,0.137,-0.014,-0.029,1
5397.987,0.057,-0.267,9.745,-0.028,-0.03,0.068,1
5533.998,-0.028,-0.222,9.792,-0.108,-0.085,-0.028,1
5668.983,-0.035,-0.396,9.762,-0.127,0.014,0.015,1
5805.004,-0.044,-0.367,9.868,0.043,-0.029,-0.045,1
5940.998,0.139,-0.339,9.813,-0.101,-0.11,-0.003,1
6077.017,0.08,-0.368,9.881,0.018,-0.075,-0.013,1
6217.993,0.075,-0.384,9.985,-0.051,-0.056,-0.018,1
6354.015,0.048,-0.444,10.002,-0.017,-0.027,-0.034,1
6490.006,0.087,-0.441,9.951,-0.043,-0.036,-0.052,1
6624.974,0.057,-0.513,9.957,-0.016,-0.006,-0.034,1
6761.002,0.065,-0.451,9.814,0.013,-0.067,-0.025,1
6896.972,0.062,-0.383,9.982,0.005,-0.047,0.0,1
7032.99,0.025,-0.475,9.869,0.001,-0.079,0.003,1
7168.004,-0.092,-0.558,9.889,-0.067,-0.034,-0.006,1
7303.976,0.029,-0.542,9.834,-0.055,-0.026,-0.007,1
7445.028,0.042,-0.495,9.847,0.13,-0.086,-0.018,1
7580.973,-0.003,-0.44,9.822,-0.022,-0.019,-0.001,1
7715.979,-0.086,-0.415,9.895,0.007,-0.035,0.008,1
7851.969,-0.158,-0.488,9.805,0.109,-0.059,-0.029,1
7987.988,0.039,-0.381,9.963,-0.058,-0.041,-0.019,1
8123.997,0.009,-0.357,9.861,0.023,-0.069,-0.044,1
8259.031,-0.013,-0.435,9.9,-0.011,-0.083,0.037,1
8395.04,0.016,-0.484,9.827,-0.024,-0.033,-0.025,1
8530.965,0.013,-0.432,9.866,0.034,0.009,0.004,1
