Time(ms),AccelX,AccelY,AccelZ,label
2784.968,0.156,-0.287,9.912,1
2921.971,0.356,-0.363,9.84,1
3060.031,0.139,-0.2,10.169,1
3198.001,0.192,-0.135,10.506,1
3334.981,0.079,-0.445,10.049,1
3473.028,0.236,-0.581,9.632,1
3610.984,-0.086,-0.529,9.77,1
3749.033,0.294,-0.249,10.482,1
3892.98,0.029,-0.462,9.646,1
4030.971,0.314,-0.47,9.882,1
4168.007,0.393,-0.141,9.336,1
4304.971,0.329,-0.321,9.882,1
4441.971,0.208,-0.378,10.064,1
4579.006,0.231,-0.422,9.868,1
4714.002,0.291,-0.515,9.957,1
4849.977,0.093,-0.446,9.921,1
4986.019,0.102,-0.534,9.733,1
5125.992,-0.018,-0.295,10.06,1
5261.989,0.071,-0.111,9.877,1
5397.987,0.057,-0.267,9.745,1
5533.998,-0.028,-0.222,9.792,1
5668.983,-0.035,-0.396,9.762,1
5805.004,-0.044,-0.367,9.868,1
5940.998,0.139,-0.339,9.813,1
6077.017,0.08,-0.368,9.881,1
6217.993,0.075,-0.384,9.985,1
6354.015,0.048,-0.444,10.002,1
6490.006,0.087,-0.441,9.951,1
6624.974,0.057,-0.513,9.957,1
6761.002,0.065,-0.451,9.814,1
6896.972,0.062,-0.383,9.982,1
7032.99,0.025,-0.475,9.869,1
7168.004,-0.092,-0.558,9.889,1
7303.976,0.029,-0.542,9.834,1
7445.028,0.042,-0.495,9.847,1
7580.973,-0.003,-0.44,9.822,1
7715.979,-0.086,-0.415,9.895,1
7851.969,-0.158,-0.488,9.805,1
7987.988,0.039,-0.381,9.963,1
8123.997,0.009,-0.357,9.861,1
8259.031,-0.013,-0.435,9.9,1
8395.04,0.016,-0.484,9.827,1
8530.965,0.013,-0.432,9.866,1
8670.999,-0.017,-0.408,9.931,1
8807.013,0.015,-0.414,9.936,1
8943.005,0.047,-0.485,9.939,1
9078.996,0.035,-0.433,9.92,1
9213.986,0.019,-0.466,9.85,1
9350.02,0.087,-0.452,10.007,1
9486.026,0.093,-0.529,9.862,1
9622.0,0.067,-0.501,9.976,1
9761.97,0.016,-0.737,9.733,1
9898.041,-0.051,-0.64,10.001,1
10033.999,-0.053,-0.699,9.806,1
10168.986,-0.127,-0.632,10.022,1
10305.029,-0.107,-0.689,9.853,1
10440.996,-0.093,-0.737,9.969,1
10577.032,-0.058,-0.677,9.917,1
10711.986,-0.061,-0.76,9.836,1
10848.011,-0.082,-0.695,9.988,1
10988.997,-0.068,-0.741,9.868,1
11125.01,-0.084,-0.607,9.882,1
11259.973,-0.025,-0.628,9.899,1
11395.978,-0.08,-0.659,9.89,1
11532.0,-0.019,-0.488,9.943,1
11666.999,-0.015,-0.585,9.906,1
11802.963,-0.037,-0.548,9.991,1
11939.048,-0.038,-0.579,9.925,1
12079.947,-0.018,-0.505,9.923,1
12214.972,-0.035,-0.544,9.953,1
12350.998,-0.049,-0.609,9.929,1
12487.025,-0.064,-0.596,9.959,1
12623.02,-0.051,-0.588,9.839,1
12758.017,-0.025,-0.57,9.935,1
12894.012,-0.033,-0.656,9.904,1
13029.971,-0.046,-0.62,9.92,1
13171.001,-0.073,-0.671,9.892,1
13307.009,-0.109,-0.633,9.881,1
13443.014,-0.04,-0.623,9.896,1
13579.036,-0.178,-0.632,9.967,1
13714.01,-0.123,-0.603,9.876,1
13850.004,-0.084,-0.591,9.93,1
13985.997,-0.043,-0.622,9.943,1
14122.028,-0.019,-0.609,9.798,1
14257.042,-0.08,-0.54,9.91,1
14398.978,-0.077,-0.54,9.91,1
14535.027,-0.045,-0.551,9.888,1
14670.003,-0.078,-0.573,9.934,1
